subscription_id,account_id,plan,monthly_revenue,annual_contract_value,renewal_date,status
SUB000089,ACC001855,Professional,3318.18,37385.53,2027-06-29,Active
SUB000090,ACC002838,Growth,742.12,8442.2,2027-06-26,Active
SUB000091,ACC001986,Enterprise,24353.0,253148.71,2026-09-12,Active
SUB000092,ACC001234,Professional,7440.33,80218.06,2026-03-17,Cancelled
SUB000093,ACC002925,Professional,3321.75,35070.16,2027-02-01,Active
SUB000094,ACC000183,Growth,1322.9,15773.74,2027-04-30,Active
SUB000095,ACC002986,Enterprise,48934.19,556808.79,2026-09-23,Active
SUB000096,ACC000226,Starter,353.6,4046.15,2026-09-15,Active
SUB000097,ACC002999,Professional,3264.1,38522.74,2026-08-06,Active
SUB000098,ACC001411,Growth,-1652.42,18561.63,2026-08-03,Trial
SUB000099,ACC001138,Starter,-221.29,2272.61,2026-12-21,Active
SUB000100,ACC000152,Growth,1218.12,13093.74,2027-05-24,Active
SUB000101,ACC001989,Growth,1667.68,19575.47,2026-11-04,Active
SUB000102,ACC000905,Professional,4977.24,58369.54,2026-07-15,Trial
SUB000103,ACC002927,Enterprise,41264.66,435905.53,2027-01-31,Active
SUB000104,ACC001417,Starter,331.24,3814.14,2026-08-02,Trial
SUB000105,ACC000290,Starter,349.55,4146.03,2026-12-08,Active
SUB000106,ACC000603,Enterprise,42772.79,443102.62,2026-07-28,Active
SUB000107,ACC001964,Growth,888.25,9127.21,2026-01-11,Cancelled
SUB000108,ACC002169,Professional,4016.42,45946.82,2027-02-05,Active
SUB000109,ACC002475,Enterprise,48298.45,545658.55,2026-07-08,Active
SUB000110,ACC002184,Enterprise,14288.77,164001.35,2026-09-28,Active
SUB000111,ACC000856,Professional,4803.5,56186.14,2026-03-07,Paused
SUB000112,ACC001728,Enterprise,27984.3,321493.67,2026-08-29,Active
SUB000113,ACC000658,Professional,2124.46,22839.88,2026-02-11,Cancelled
SUB000114,ACC000974,Starter,299.57,3145.85,2027-06-14,Active
SUB000115,ACC002404,Enterprise,26809.02,301903.46,2026-07-18,Active
SUB000116,ACC001719,Professional,7431.56,84788.59,2026-05-29,Cancelled
SUB000117,ACC000065,Enterprise,40543.89,452080.7,2026-09-25,Active
SUB000118,ACC001447,Professional,4088.69,42570.49,2025-11-08,Active
SUB000119,ACC001806,Starter,227.37,2514.75,2027-04-15,Active
SUB000120,ACC000187,Professional,2629.59,31191.46,2026-07-16,Trial
SUB000121,ACC001307,Professional,7191.56,73734.11,2026-10-30,Active
SUB000122,ACC001016,Growth,1923.74,20307.54,2027-01-14,Active
SUB000123,ACC000317,Growth,1714.3,19197.39,2027-04-03,Active
SUB000124,ACC000498,Professional,2798.76,32981.5,2026-02-13,Paused
SUB000125,ACC002338,Growth,1106.56,11717.17,2027-03-21,Active
SUB000126,ACC001306,Professional,6820.9,78992.96,2027-06-23,Active
SUB000127,ACC000923,Starter,,1735.69,2026-05-25,Cancelled
SUB000128,ACC002881,Enterprise,47487.74,495996.41,2026-04-29,Paused
SUB000129,ACC001573,Starter,498.73,5307.1,2026-09-06,Active
SUB000130,ACC002936,Starter,388.12,4033.21,2026-02-25,Cancelled
SUB000131,ACC002868,Professional,5285.97,59965.1,2027-01-28,Active
SUB000132,ACC001274,Growth,931.89,9529.23,2026-08-05,Active
SUB000133,ACC002163,Starter,493.23,5516.99,2026-03-09,Paused
SUB000134,ACC002600,Professional,3308.26,38031.45,2027-02-08,Active
SUB000135,ACC000504,Professional,,23572.8,2027-05-23,Active
SUB000136,ACC000702,Professional,7376.36,83079.4,2026-11-20,Active
SUB000137,ACC000780,Growth,1569.3,18561.4,2026-12-21,Active
SUB000138,ACC000393,Enterprise,40797.12,428269.56,2026-01-28,Cancelled
SUB000139,ACC000788,Professional,6300.43,74641.37,2027-03-19,Active
SUB000140,ACC000920,Professional,6855.91,74504.37,2026-11-07,Active
SUB000141,ACC000597,Professional,6742.07,77318.95,2026-03-25,Cancelled
SUB000142,ACC002533,Starter,324.14,3322.02,2026-09-18,Active
SUB000143,ACC001226,Enterprise,42560.64,446263.25,2026-11-16,Active
SUB000144,ACC002711,Growth,573.19,6582.13,2026-09-29,Active
SUB000145,ACC001835,Growth,1078.65,12680.48,2027-01-17,Active
SUB000146,ACC002764,Professional,2059.75,21016.2,2026-02-21,Cancelled
SUB000147,ACC002491,Professional,4351.6,50738.55,2026-02-03,Cancelled
SUB000148,ACC000137,Starter,253.76,2974.82,2026-02-13,Cancelled
SUB000149,ACC002305,Enterprise,28607.92,325521.97,2026-03-24,Paused
SUB000150,ACC000107,Enterprise,36612.21,417158.62,2027-02-06,Active
SUB000151,ACC000598,Professional,4939.75,52902.88,2026-04-03,Cancelled
SUB000152,ACC001426,Enterprise,10126.15,112823.41,2026-11-25,Active
SUB000153,ACC002955,Growth,1978.28,21778.54,2027-01-21,Active
SUB000154,ACC002487,Growth,1072.89,12418.22,2026-11-04,Active
SUB000155,ACC000010,Growth,946.7,10383.92,2026-07-25,Trial
SUB000156,ACC002286,Enterprise,26406.75,290441.51,2027-02-08,Active
SUB000157,ACC001902,Starter,424.78,4624.81,2026-01-10,Paused
SUB000158,ACC002845,Professional,6972.65,83336.14,2026-09-24,Active
SUB000159,ACC001613,Professional,7201.69,79734.78,2027-04-26,Active
SUB000160,ACC000078,Growth,1458.33,17269.51,2026-03-13,Paused
SUB000161,ACC001060,Professional,3390.49,35617.69,2027-04-28,Active
SUB000162,ACC001088,Professional,6165.82,72613.89,2026-10-17,Active
SUB000163,ACC001887,Professional,5838.84,68914.94,2027-01-07,Active
SUB000164,ACC002819,Growth,-1367.44,15027.33,2026-06-27,Paused
SUB000165,ACC002975,Enterprise,10044.47,109136.02,2027-01-18,Active
SUB000166,ACC001321,Professional,6056.54,69734.63,2026-07-22,Active
SUB000167,ACC001205,Growth,1841.81,20829.86,2026-06-30,Paused
SUB000168,ACC002774,Starter,349.28,4169.88,2026-05-14,Cancelled
SUB000169,ACC002021,Starter,473.44,5578.71,2027-04-14,Active
SUB000170,ACC002965,Enterprise,14943.46,160175.14,2026-03-26,Active
SUB000171,ACC001530,Growth,1957.6,23008.44,2027-06-10,Active
SUB000172,ACC000562,Professional,2555.85,26852.34,2026-09-08,Active
SUB000173,ACC000263,Professional,5799.49,66477.36,2026-09-06,Active
SUB000174,ACC002814,Starter,195.85,2131.14,2026-11-04,Active
SUB000175,ACC002574,Professional,6695.88,76465.57,2026-11-17,Active
SUB000176,ACC002327,Professional,,68884.35,2026-07-02,Paused
SUB000177,ACC000527,Starter,372.85,4180.46,2026-08-16,Active
SUB000178,ACC000440,Growth,582.67,6151.82,2026-12-21,Active
SUB000179,ACC002005,Growth,1869.38,20853.72,2025-11-30,Active
SUB000180,ACC001037,Professional,3039.81,34092.57,2026-11-09,Active
SUB000181,ACC001169,Professional,3472.86,39255.62,2026-12-08,Active
SUB000182,ACC001318,Starter,475.3,5688.79,2026-07-28,Trial
SUB000183,ACC000957,Professional,3709.27,40451.08,2026-09-10,Active
SUB000184,ACC001148,Growth,1330.75,13782.15,2027-07-05,Active
SUB000185,ACC002658,Starter,-109.77,1289.09,2026-07-08,Active
SUB000186,ACC000594,Professional,2895.1,32785.65,2026-10-10,Active
SUB000187,ACC002617,Professional,3946.38,43852.03,2026-05-07,Cancelled
SUB000188,ACC000787,Growth,1486.98,16276.95,2026-06-14,Paused
SUB000189,ACC002306,Professional,6354.71,70400.67,2025-11-21,Active
SUB000190,ACC001866,Professional,6189.12,65815.79,2027-02-27,Active
SUB000191,ACC001952,Starter,473.35,5538.68,2026-02-07,Paused
SUB000192,ACC000288,Professional,4687.58,51211.11,2026-10-28,Active
SUB000193,ACC002629,Starter,312.42,3333.99,2025-08-23,Active
SUB000194,ACC002136,Professional,4846.3,54672.63,2026-10-24,Active
SUB000195,ACC000847,Professional,-5444.03,61476.95,2026-09-20,Active
SUB000196,ACC000262,Enterprise,43102.63,473637.68,2026-11-21,Active
SUB000197,ACC000801,Growth,765.76,8043.56,2027-02-12,Active
SUB000198,ACC002603,Professional,7289.16,82058.23,2026-05-14,Paused
SUB000199,ACC001197,Growth,1776.4,18942.98,2027-01-23,Active
SUB000200,ACC002522,Starter,202.22,2318.65,2026-05-19,Active
SUB000201,ACC002843,Professional,6799.41,74769.77,2027-06-20,Active
SUB000202,ACC001402,Professional,2631.16,28400.66,2026-09-12,Active
SUB000203,ACC001853,Professional,4927.7,50941.11,2026-08-09,Active
SUB000204,ACC002795,Starter,384.54,3936.44,2027-04-04,Active
SUB000205,ACC001540,Growth,948.32,10839.94,2026-09-28,Active
SUB000206,ACC001697,Professional,3689.97,40754.29,2026-07-21,Active
SUB000207,ACC000279,Starter,484.25,5210.36,2026-07-27,Trial
SUB000208,ACC002818,Professional,3669.87,43482.43,2027-03-06,Active
SUB000209,ACC001731,Growth,853.07,9288.12,2027-04-06,Active
SUB000210,ACC002753,Enterprise,37576.3,406960.45,2026-02-15,Cancelled
SUB000211,ACC000818,Growth,1821.76,20427.24,2027-02-02,Active
SUB000212,ACC001960,Enterprise,29141.2,331136.31,2026-10-20,Active
SUB000213,ACC001746,Growth,934.21,10882.05,2026-10-28,Active
SUB000214,ACC000306,Starter,168.29,1890.52,2026-11-14,Active
SUB000215,ACC002250,Starter,248.56,2861.31,2026-11-04,Active
SUB000216,ACC000523,Growth,1817.58,18653.82,2026-02-10,Paused
SUB000217,ACC001891,Enterprise,31614.25,373769.97,2027-03-24,Active
SUB000218,ACC002776,Professional,4889.25,55187.63,2026-09-25,Active
SUB000219,ACC002748,Starter,134.46,1532.23,2027-05-09,Active
SUB000220,ACC001103,Starter,155.33,1694.24,2027-03-12,Active
SUB000221,ACC000457,Starter,455.71,5411.83,2027-05-09,Active
SUB000222,ACC002989,Professional,4698.9,51598.94,2027-01-15,Active
SUB000223,ACC002665,Professional,4605.71,51736.13,2026-10-03,Active
SUB000224,ACC001980,Professional,5825.73,61667.56,2026-12-09,Active
SUB000225,ACC000589,Professional,4197.29,43009.36,2026-06-14,Paused
SUB000226,ACC000364,Starter,287.58,3211.47,2026-01-20,Cancelled
SUB000227,ACC001756,Professional,6351.78,73451.44,2027-06-13,Active
SUB000228,ACC002153,Starter,142.18,1450.82,2026-04-20,Paused
SUB000229,ACC002792,Professional,3243.11,38084.0,2025-10-11,Active
SUB000230,ACC001377,Growth,571.97,6510.3,2026-11-02,Active
SUB000231,ACC001225,Starter,334.67,3426.67,2027-05-23,Active
SUB000232,ACC002592,Growth,592.08,6755.64,2026-10-29,Active
SUB000233,ACC000514,Starter,231.28,2547.42,2026-07-18,Trial
SUB000234,ACC002746,Enterprise,46912.53,542072.36,2026-03-09,Active
SUB000235,ACC000825,Professional,5832.17,63351.24,2027-05-26,Active
SUB000236,ACC002833,Starter,419.79,4616.24,2027-05-07,Active
SUB000237,ACC002995,Professional,2682.92,31571.17,2026-01-17,Paused
SUB000238,ACC002565,Growth,989.56,11558.0,2026-04-17,Cancelled
SUB000239,ACC002568,Enterprise,33771.11,350609.91,2027-01-26,Active
SUB000240,ACC000556,Enterprise,40030.87,449366.38,2027-05-15,Active
SUB000241,ACC000113,Enterprise,42162.97,442057.25,2027-04-15,Active
SUB000242,ACC000330,Professional,4669.6,55281.81,2026-07-17,Trial
SUB000243,ACC002651,Growth,1967.73,23000.99,2026-04-10,Paused
SUB000244,ACC002933,Starter,242.21,2724.97,2026-12-17,Active
SUB000245,ACC000515,Starter,187.78,1951.34,2026-06-27,Paused
SUB000246,ACC001068,Professional,3038.2,33740.47,2026-04-29,Paused
SUB000247,ACC002106,Growth,1946.23,20758.58,2026-02-01,Paused
SUB000248,ACC001584,Growth,624.18,6463.53,2027-05-07,Active
SUB000249,ACC000249,Starter,415.24,4926.48,2026-11-19,Active
SUB000250,ACC001497,Growth,1614.67,17640.69,2026-08-28,Active
SUB000251,ACC000174,Enterprise,17756.85,210317.65,2027-04-17,Active
SUB000252,ACC002111,Enterprise,32576.1,389521.63,2026-11-12,Active
SUB000253,ACC001721,Growth,656.73,7312.37,2026-09-14,Active
SUB000254,ACC002766,Growth,1447.06,16626.33,2027-05-15,Active
SUB000255,ACC001464,Growth,1310.64,14534.86,2026-10-14,Active
SUB000256,ACC000941,Professional,3352.67,35489.43,2027-06-15,Active
SUB000257,ACC000564,Growth,1971.91,20413.39,2026-05-26,Paused
SUB000258,ACC000488,Professional,5817.87,69069.03,2026-09-30,Active
SUB000259,ACC001281,Enterprise,18050.83,205243.42,2027-02-12,Active
SUB000260,ACC003000,Starter,227.62,2388.12,2026-05-26,Paused
SUB000261,ACC001906,Enterprise,32353.09,342424.27,2025-07-27,Active
SUB000262,ACC001298,Enterprise,9975.51,102856.68,2026-07-17,Trial
SUB000263,ACC000733,Enterprise,43603.47,496282.57,2026-05-17,Paused
SUB000264,ACC000133,Enterprise,48929.95,504237.23,2027-05-08,Active
SUB000265,ACC000811,Growth,1732.58,20520.7,2027-02-13,Active
SUB000266,ACC002393,Professional,3502.37,39041.12,2026-03-15,Paused
SUB000267,ACC000313,Professional,7191.6,84685.52,2027-05-10,Active
SUB000268,ACC000910,Professional,7114.13,76930.02,2026-09-26,Active
SUB000269,ACC002727,Growth,-648.81,7478.51,2026-05-20,Paused
SUB000270,ACC001275,Professional,5588.81,66388.56,2026-11-01,Active
SUB000271,ACC001930,Professional,7097.29,75363.31,2027-03-20,Active
SUB000272,ACC000258,Starter,481.52,5228.38,2026-03-03,Cancelled
SUB000273,ACC001153,Growth,584.7,6448.02,2026-07-28,Active
SUB000274,ACC002931,Enterprise,8865.61,102949.49,2026-07-25,Active
SUB000275,ACC000461,Enterprise,39695.4,418004.93,2026-04-11,Cancelled
SUB000276,ACC000999,Growth,1093.51,12062.07,2027-04-30,Active
SUB000277,ACC001898,Professional,6849.95,72449.77,2027-02-16,Active
SUB000278,ACC000088,Enterprise,16311.17,169100.26,2026-07-28,Trial
SUB000279,ACC002012,Growth,1140.21,13214.62,2027-01-27,Active
SUB000280,ACC001802,Professional,2224.82,25227.81,2027-04-15,Active
SUB000281,ACC002632,Professional,5457.8,57446.38,2025-08-26,Active
SUB000282,ACC002515,Enterprise,13973.33,153436.89,2026-09-08,Active
SUB000283,ACC000984,Growth,689.95,7072.21,2027-06-23,Active
SUB000284,ACC001036,Professional,4832.95,56116.84,2026-06-06,Cancelled
SUB000285,ACC002398,Professional,3677.36,42178.95,2027-05-01,Active
SUB000286,ACC002952,Professional,,31661.42,2026-07-25,Trial
SUB000287,ACC000014,Professional,6492.25,77051.61,2026-07-18,Active
SUB000288,ACC001222,Starter,245.4,2825.41,2026-07-26,Active
SUB000289,ACC000717,Professional,4712.12,48530.66,2026-02-16,Active
SUB000290,ACC001535,Growth,1559.09,17799.41,2026-11-13,Active
SUB000291,ACC000004,Professional,-3452.86,38923.96,2026-11-10,Active
SUB000292,ACC002775,Professional,7494.75,77268.32,2027-02-16,Active
SUB000293,ACC000883,Growth,1964.6,22690.26,2026-09-27,Active
SUB000294,ACC000566,Growth,1842.52,20604.83,2026-05-18,Paused
SUB000295,ACC001487,Professional,6229.29,68460.57,2026-07-13,Active
SUB000296,ACC001020,Growth,866.0,9584.67,2027-02-17,Active
SUB000297,ACC002777,Enterprise,41118.64,443775.17,2025-08-12,Active
SUB000298,ACC001828,Growth,814.84,9405.71,2026-10-07,Active
SUB000299,ACC001959,Professional,6431.37,71627.3,2026-10-13,Active
SUB000300,ACC002074,Enterprise,40650.23,442678.97,2026-11-10,Active
SUB000301,ACC001126,Enterprise,46726.91,542811.54,2027-04-20,Active
SUB000302,ACC002178,Growth,1040.94,12207.94,2026-07-14,Trial
SUB000303,ACC000268,Professional,4856.1,56136.39,2027-06-26,Active
SUB000304,ACC001235,Professional,5376.53,60188.93,2026-08-09,Active
SUB000305,ACC000269,Enterprise,34794.81,399994.23,2027-03-31,Active
SUB000306,ACC001410,Enterprise,47984.9,573404.99,2026-06-14,Cancelled
SUB000307,ACC000812,Growth,784.9,8376.07,2026-03-22,Paused
SUB000308,ACC002618,Enterprise,46441.88,507093.08,2026-11-25,Active
SUB000309,ACC001264,Growth,1392.63,16677.97,2026-06-23,Cancelled
SUB000310,ACC002416,Professional,4604.77,52039.23,2026-11-23,Active
SUB000311,ACC000087,Enterprise,17187.34,201320.26,2027-03-20,Active
SUB000312,ACC000120,Professional,3996.03,41913.38,2026-06-09,Paused
SUB000313,ACC001202,Professional,6908.21,80454.27,2026-06-15,Cancelled
SUB000314,ACC000295,Growth,1877.91,20118.64,2025-10-31,Active
SUB000315,ACC002357,Professional,3719.67,44351.32,2026-10-30,Active
SUB000316,ACC001562,Enterprise,38662.07,440401.05,2026-02-08,Paused
SUB000317,ACC001622,Professional,4567.29,50301.87,2027-06-17,Active
SUB000318,ACC001683,Enterprise,42305.44,493966.57,2026-03-18,Cancelled
SUB000319,ACC000650,Professional,2746.61,30445.22,2026-11-04,Active
SUB000320,ACC001305,Growth,711.74,7472.94,2026-09-25,Active
SUB000321,ACC001711,Professional,6091.25,65201.89,2026-02-17,Cancelled
SUB000322,ACC000192,Starter,114.97,1218.82,2026-10-06,Active
SUB000323,ACC001551,Starter,108.38,1146.27,2026-07-13,Active
SUB000324,ACC002312,Growth,1230.78,12598.6,2026-07-06,Cancelled
SUB000325,ACC001927,Starter,228.06,2431.97,2026-11-19,Active
SUB000326,ACC002512,Starter,183.8,2142.75,2026-07-11,Active
SUB000327,ACC000232,Growth,770.7,8525.8,2026-09-02,Active
SUB000328,ACC001912,Professional,2005.22,20584.47,2026-01-31,Paused
SUB000329,ACC001009,Growth,1204.37,13758.72,2027-02-23,Active
SUB000330,ACC002918,Starter,494.19,5809.28,2027-05-05,Active
SUB000331,ACC002167,Professional,4958.49,55689.26,2026-05-07,Cancelled
SUB000332,ACC000694,Professional,2994.47,34091.9,2027-04-02,Active
SUB000333,ACC001749,Growth,1466.17,15364.09,2026-05-22,Cancelled
SUB000334,ACC002135,Starter,416.06,4624.26,2026-07-16,Trial
SUB000335,ACC001954,Enterprise,17557.19,182514.29,2026-11-05,Active
SUB000336,ACC000530,Growth,1013.29,11832.16,2026-12-25,Active
SUB000337,ACC001018,Professional,,59757.7,2026-11-04,Active
SUB000338,ACC001548,Growth,1444.39,15609.83,2027-01-12,Active
SUB000339,ACC001115,Starter,286.73,3073.43,2026-07-13,Trial
SUB000340,ACC001695,Professional,6954.36,81016.49,2026-04-04,Cancelled
SUB000341,ACC001925,Growth,1477.03,15822.44,2026-07-27,Active
SUB000342,ACC001933,Growth,1147.1,12919.87,2026-06-12,Cancelled
SUB000343,ACC002785,Professional,2080.93,21709.7,2026-07-20,Active
SUB000344,ACC002864,Growth,604.79,7232.62,2026-04-07,Paused
SUB000345,ACC002560,Professional,7469.62,77149.63,2026-11-16,Active
SUB000346,ACC001870,Enterprise,42470.02,478396.17,2026-07-24,Trial
SUB000347,ACC001360,Growth,1504.34,16573.81,2026-11-11,Active
SUB000348,ACC002046,Professional,,49112.11,2026-07-30,Trial
SUB000349,ACC001577,Enterprise,-15184.82,178967.94,2027-05-03,Active
SUB000350,ACC002194,Professional,2781.98,29994.62,2026-07-08,Trial
SUB000351,ACC002893,Enterprise,21224.34,230882.52,2027-07-04,Active
SUB000352,ACC000468,Starter,255.69,2691.05,2027-03-14,Active
SUB000353,ACC001948,Enterprise,29572.59,353325.94,2026-12-02,Active
SUB000354,ACC002507,Starter,190.1,2069.85,2026-09-26,Active
SUB000355,ACC001860,Professional,4668.14,53621.58,2026-11-22,Active
SUB000356,ACC001216,Growth,,13583.55,2026-02-07,Cancelled
SUB000357,ACC002361,Enterprise,8935.18,105529.46,2026-12-08,Active
SUB000358,ACC002828,Enterprise,32404.33,388249.6,2026-12-01,Active
SUB000359,ACC001871,Starter,149.89,1762.21,2027-02-15,Active
SUB000360,ACC001678,Growth,894.89,10076.42,2027-01-27,Active
SUB000361,ACC001572,Growth,846.49,9733.88,2026-04-19,Paused
SUB000362,ACC002409,Enterprise,24880.42,267549.13,2027-03-27,Active
SUB000363,ACC002705,Professional,6502.62,67307.45,2027-05-09,Active
SUB000364,ACC001546,Professional,6761.05,78609.48,2026-11-21,Active
SUB000365,ACC000227,Enterprise,42247.31,504971.95,2027-05-30,Active
SUB000366,ACC001799,Growth,1553.01,18480.18,2027-03-04,Active
SUB000367,ACC002151,Professional,6429.35,71117.41,2027-03-16,Active
SUB000368,ACC000671,Growth,702.81,7630.17,2026-09-06,Active
SUB000369,ACC001381,Starter,105.5,1128.01,2026-03-15,Paused
SUB000370,ACC000399,Professional,5156.0,60639.35,2027-02-06,Active
SUB000371,ACC001071,Starter,488.88,5821.3,2026-08-29,Active
SUB000372,ACC000721,Professional,6661.56,70311.42,2027-06-04,Active
SUB000373,ACC002738,Professional,5951.27,65095.04,2026-12-29,Active
SUB000374,ACC001523,Enterprise,14470.46,166676.93,2027-02-25,Active
SUB000375,ACC002246,Professional,3256.98,35556.56,2026-12-29,Active
SUB000376,ACC000191,Enterprise,19470.22,223705.92,2026-05-13,Cancelled
SUB000377,ACC000786,Growth,1931.56,21894.03,2026-09-12,Active
SUB000378,ACC002493,Enterprise,38314.53,421127.65,2026-05-13,Paused
SUB000379,ACC002292,Professional,4427.23,47069.19,2027-04-23,Active
SUB000380,ACC002204,Professional,2908.08,30895.03,2026-07-17,Trial
SUB000381,ACC000949,Growth,1336.68,14293.94,2026-07-21,Trial
