ticket_id,account_id,priority,issue_category,status,created_date,resolved_date,satisfaction_score
TKT0000041,ACC002726,Medium,Bug,In Progress,2024-09-21,,
TKT0000042,ACC002627,High,Bug,Resolved,2025-09-13,2025-09-16,3.0
TKT0000043,ACC000549,Medium,Bug,In Progress,2026-05-07,,
TKT0000044,ACC000647,Medium,Technical,Resolved,2025-12-26,2026-01-01,5.0
TKT0000045,ACC002502,Low,Feature Request,Closed,2025-03-22,2025-04-10,3.0
TKT0000046,ACC002054,Medium,Billing,Open,2027-06-17,,
TKT0000047,ACC000163,High,Billing,Resolved,2024-10-20,2024-10-21,4.0
TKT0000048,ACC001769,Low,General Inquiry,In Progress,2024-08-03,,
TKT0000049,ACC002580,Low,General Inquiry,Closed,2024-10-23,2024-11-11,2.0
TKT0000050,ACC001611,Low,Bug,Resolved,2026-01-16,2026-02-01,3.0
TKT0000051,ACC002735,Medium,Technical,Open,2025-01-13,,
TKT0000052,ACC002624,High,General Inquiry,Resolved,2026-03-03,2026-03-04,1.0
TKT0000053,ACC002297,Medium,Bug,Closed,2026-05-25,2026-06-01,4.0
TKT0000054,ACC000821,Low,Technical,Open,2026-01-30,,
TKT0000055,ACC001022,High,Billing,Resolved,2025-09-04,2025-09-05,3.0
TKT0000056,ACC002330,Low,Feature Request,In Progress,2024-08-02,,
TKT0000057,ACC002500,High,Feature Request,Open,2026-04-07,,
TKT0000058,ACC002923,High,General Inquiry,Closed,2024-10-23,2024-10-24,1.0
TKT0000059,ACC002402,Low,Bug,Open,2025-11-01,,
TKT0000060,ACC002470,Low,Billing,Resolved,2025-02-18,2025-03-10,2.0
TKT0000061,ACC002706,Medium,Feature Request,Resolved,2025-10-29,2025-11-03,2.0
TKT0000062,ACC002391,High,General Inquiry,Closed,2024-10-09,2024-10-10,5.0
TKT0000063,ACC002730,Critical,Bug,In Progress,2026-06-18,,
TKT0000064,ACC001948,High,Billing,In Progress,2025-08-15,,
TKT0000065,ACC000825,Low,General Inquiry,Open,2025-09-30,,
TKT0000066,ACC000158,Low,General Inquiry,Resolved,2025-03-18,2025-04-15,3.0
TKT0000067,ACC001367,Medium,Feature Request,In Progress,2025-02-22,,
TKT0000068,ACC001703,Low,Technical,Open,2024-11-07,,
TKT0000069,ACC000789,Medium,General Inquiry,In Progress,2025-05-21,,
TKT0000070,ACC001382,Critical,Bug,Resolved,2024-07-17,2024-07-18,2.0
TKT0000071,ACC001859,Medium,General Inquiry,Resolved,2026-05-18,2026-05-22,4.0
TKT0000072,ACC002999,Low,Billing,Resolved,2024-11-03,2024-11-25,2.0
TKT0000073,ACC000283,High,Technical,Open,2024-09-03,,
TKT0000074,ACC001237,Medium,Feature Request,Resolved,2025-08-10,2025-08-16,4.0
TKT0000075,ACC002673,Medium,Bug,Closed,2025-09-22,2025-09-26,5.0
TKT0000076,ACC001556,Low,Bug,Closed,2025-07-26,2025-08-23,1.0
TKT0000077,ACC002716,Medium,Bug,In Progress,2025-07-29,,
TKT0000078,ACC001395,Low,Bug,In Progress,2026-01-25,,
TKT0000079,ACC002221,High,Bug,Open,2025-02-05,,
TKT0000080,ACC000988,Medium,General Inquiry,Closed,2025-03-26,2025-03-30,3.0
TKT0000081,ACC001154,High,Technical,Resolved,2026-03-31,2026-04-03,
TKT0000082,ACC001689,High,Feature Request,Resolved,2024-10-16,2024-10-19,4.0
TKT0000083,ACC000480,Low,Billing,In Progress,2025-12-18,,
TKT0000084,ACC002932,High,Technical,Closed,2025-12-11,2025-12-14,5.0
TKT0000085,ACC002374,High,Feature Request,Resolved,2026-04-13,2026-04-16,3.0
TKT0000086,ACC001189,Medium,General Inquiry,In Progress,2025-08-02,,
TKT0000087,ACC001191,Low,Bug,In Progress,2025-08-10,,
TKT0000088,ACC001655,High,Billing,In Progress,2024-08-09,,
TKT0000089,ACC002829,Medium,General Inquiry,Closed,2025-10-18,2025-10-22,5.0
TKT0000090,ACC002407,Critical,Feature Request,In Progress,2024-07-27,,
TKT0000091,ACC001272,Low,Feature Request,Resolved,2024-07-22,2024-07-31,4.0
TKT0000092,ACC002123,Low,Billing,Closed,2025-04-04,2025-04-11,4.0
TKT0000093,ACC000505,High,Feature Request,Open,2025-07-09,,
TKT0000094,ACC001366,Low,Feature Request,Resolved,2025-11-25,2025-12-17,2.0
TKT0000095,ACC002412,Medium,General Inquiry,Open,2025-03-28,,
TKT0000096,ACC002452,Low,Technical,Resolved,2025-06-25,2025-07-20,2.0
TKT0000097,ACC002325,Low,General Inquiry,Open,2025-12-22,,
TKT0000098,ACC002856,Low,Billing,Resolved,2026-02-11,2026-03-12,3.0
TKT0000099,ACC000981,Medium,Feature Request,Closed,2025-01-03,2025-01-07,3.0
TKT0000100,ACC002968,High,Bug,In Progress,2026-03-12,,
TKT0000101,ACC002223,Low,Bug,Closed,2024-12-24,2025-01-14,3.0
TKT0000102,ACC001122,Medium,Technical,Resolved,2024-12-27,2025-01-03,1.0
TKT0000103,ACC001522,Low,Billing,Closed,2025-05-29,2025-06-14,4.0
TKT0000104,ACC002745,Medium,Bug,In Progress,2025-01-29,,
TKT0000105,ACC002859,Low,Billing,In Progress,2026-04-09,,
TKT0000106,ACC000694,Low,Technical,Closed,2025-03-21,2025-04-20,3.0
TKT0000107,ACC000388,Medium,Technical,In Progress,2025-10-13,,
TKT0000108,ACC000571,Medium,Bug,Open,2026-04-12,,
TKT0000109,ACC002061,Low,Billing,Open,2025-05-22,,
TKT0000110,ACC000347,High,Bug,Open,2025-08-20,,
TKT0000111,ACC000593,Medium,Bug,Closed,2026-04-23,2026-04-28,1.0
TKT0000112,ACC000267,Medium,Technical,Closed,2026-01-30,2026-02-04,5.0
TKT0000113,ACC001886,Medium,Feature Request,Closed,2024-09-29,2024-10-04,2.0
TKT0000114,ACC001181,Medium,General Inquiry,Open,2025-12-06,,
TKT0000115,ACC002857,Low,Bug,Open,2025-04-13,,
TKT0000116,ACC001333,Medium,Bug,Closed,2025-05-22,2025-05-27,4.0
TKT0000117,ACC002544,Medium,Technical,Resolved,2025-12-09,2025-12-14,1.0
TKT0000118,ACC001704,Low,Billing,Resolved,2025-03-07,2025-04-06,5.0
TKT0000119,ACC001462,Medium,Technical,Open,2026-09-17,,
TKT0000120,ACC002674,Medium,Technical,Closed,2025-01-13,2025-01-16,2.0
TKT0000121,ACC002538,Medium,Feature Request,Closed,2024-12-16,2024-12-21,3.0
TKT0000122,ACC000368,Medium,Bug,In Progress,2026-01-01,,
TKT0000123,ACC002666,High,Feature Request,Resolved,2025-03-06,2025-03-08,5.0
TKT0000124,ACC002486,Medium,Billing,Open,2024-10-09,,
TKT0000125,ACC000936,Medium,Technical,Open,2025-10-31,,
TKT0000126,ACC001412,Critical,Bug,Resolved,2026-01-27,2026-01-28,4.0
TKT0000127,ACC001344,Medium,Technical,Open,2024-11-06,,
TKT0000128,ACC002192,Low,Bug,Closed,2026-03-12,2026-04-10,3.0
TKT0000129,ACC000237,Medium,Billing,Closed,2025-02-10,2025-02-17,
TKT0000130,ACC000151,Low,General Inquiry,Open,2026-01-22,,
TKT0000131,ACC002413,Critical,Billing,Resolved,2025-05-29,2025-05-30,5.0
TKT0000132,ACC000249,High,General Inquiry,Closed,2024-09-11,2024-09-13,4.0
TKT0000133,ACC000155,Medium,Bug,Open,2025-02-16,,
TKT0000134,ACC000682,Medium,General Inquiry,In Progress,2025-03-04,,
TKT0000135,ACC000397,High,Technical,Resolved,2024-07-31,2024-08-02,3.0
TKT0000136,ACC002413,Low,Technical,Resolved,2024-11-04,2024-11-13,5.0
TKT0000137,ACC001353,Medium,Bug,Resolved,2025-06-26,2025-07-01,2.0
TKT0000138,ACC000482,Medium,Bug,Open,2025-09-18,,
TKT0000139,ACC001137,High,Feature Request,In Progress,2026-06-21,,
TKT0000140,ACC000789,High,Billing,In Progress,2024-12-05,,
TKT0000141,ACC001908,Medium,Feature Request,In Progress,2025-06-11,,
TKT0000142,ACC001797,Medium,Bug,Closed,2025-05-27,2025-06-02,2.0
TKT0000143,ACC001009,Low,General Inquiry,Open,2026-05-27,,
TKT0000144,ACC001577,Medium,Billing,Resolved,2025-05-05,2025-05-11,
TKT0000145,ACC000053,Critical,Bug,Closed,2025-06-16,2025-06-17,5.0
TKT0000146,ACC000152,Low,General Inquiry,In Progress,2025-01-03,,
TKT0000147,ACC001830,Critical,General Inquiry,Closed,2024-07-25,2024-07-25,4.0
TKT0000148,ACC000641,Medium,Billing,Open,2026-04-10,,
TKT0000149,ACC000832,Low,Feature Request,Closed,2024-09-15,2024-09-22,4.0
TKT0000150,ACC002632,Critical,Billing,In Progress,2025-02-23,,
TKT0000151,ACC000322,High,Bug,Closed,2025-06-05,2025-06-06,4.0
TKT0000152,ACC002668,High,Technical,In Progress,2025-05-29,,
TKT0000153,ACC001001,Medium,Technical,Closed,2026-05-26,2026-06-01,1.0
TKT0000154,ACC000878,Medium,Technical,Resolved,2024-09-22,2024-09-28,5.0
TKT0000155,ACC001195,High,General Inquiry,In Progress,2026-01-07,,
TKT0000156,ACC001673,Low,Bug,Open,2025-01-29,,
TKT0000157,ACC002373,Critical,Bug,Resolved,2025-01-15,2025-01-16,4.0
TKT0000158,ACC001258,Medium,Billing,Resolved,2025-11-20,2025-11-25,2.0
TKT0000159,ACC001472,Low,Feature Request,In Progress,2026-03-13,,
TKT0000160,ACC001405,High,Feature Request,Resolved,2025-10-12,2025-10-13,1.0
TKT0000161,ACC000714,Low,Billing,Resolved,2024-12-10,2024-12-30,3.0
TKT0000162,ACC001482,Low,Technical,Closed,2024-08-14,2024-08-26,5.0
TKT0000163,ACC001575,Medium,Billing,Open,2025-08-18,,
TKT0000164,ACC000426,Medium,Billing,Open,2025-05-27,,
TKT0000165,ACC001463,High,Technical,In Progress,2025-06-06,,
TKT0000166,ACC002001,Low,General Inquiry,Open,2024-11-16,,
TKT0000167,ACC000808,Low,Feature Request,In Progress,2026-03-05,,
TKT0000168,ACC000818,Low,Billing,Open,2025-11-30,,
TKT0000169,ACC002526,High,General Inquiry,Resolved,2024-08-07,2024-08-10,5.0
TKT0000170,ACC002217,Low,Feature Request,Resolved,2025-02-09,2025-03-10,4.0
TKT0000171,ACC002269,High,Feature Request,Closed,2025-08-26,2025-08-29,1.0
TKT0000172,ACC002460,Medium,General Inquiry,Resolved,2024-07-21,2024-07-25,5.0
TKT0000173,ACC000798,Medium,Bug,Resolved,2025-10-09,2025-10-12,1.0
TKT0000174,ACC000937,High,Bug,Open,2025-10-08,,
TKT0000175,ACC002217,High,Feature Request,Resolved,2024-08-13,2024-08-15,4.0
TKT0000176,ACC001855,Low,Technical,Open,2024-08-18,,
TKT0000177,ACC002725,Medium,Billing,In Progress,2025-11-16,,
TKT0000178,ACC000739,Critical,General Inquiry,In Progress,2026-06-17,,
TKT0000179,ACC000855,Medium,Billing,Open,2025-02-09,,
TKT0000180,ACC002836,Medium,Billing,In Progress,2024-12-24,,
TKT0000181,ACC002606,High,Billing,Closed,2024-10-31,2024-11-02,5.0
TKT0000182,ACC001192,Low,Technical,In Progress,2024-11-08,,
TKT0000183,ACC002404,Medium,General Inquiry,In Progress,2025-04-24,,
TKT0000184,ACC001749,Critical,General Inquiry,Resolved,2025-10-08,2025-10-08,3.0
TKT0000185,ACC002776,Low,Billing,Open,2025-07-07,,
TKT0000186,ACC001869,High,Bug,Resolved,2025-05-02,2025-05-05,1.0
TKT0000187,ACC002558,Low,Technical,Resolved,2025-04-05,2025-04-26,3.0
TKT0000188,ACC002273,High,Billing,Resolved,2026-02-25,2026-02-26,2.0
TKT0000189,ACC002462,Medium,Technical,Closed,2025-09-19,2025-09-25,1.0
TKT0000190,ACC000385,Medium,Technical,Closed,2024-08-07,2024-08-12,3.0
TKT0000191,ACC000387,High,Billing,Open,2024-11-16,,
TKT0000192,ACC000260,Low,Feature Request,In Progress,2025-04-14,,
TKT0000193,ACC000332,Medium,Technical,Open,2024-12-29,,
TKT0000194,ACC001107,Medium,General Inquiry,Open,2025-04-06,,
TKT0000195,ACC002776,Low,Technical,Open,2025-02-01,,
TKT0000196,ACC001500,Medium,Technical,Closed,2024-07-17,2024-07-24,1.0
TKT0000197,ACC002568,Medium,Billing,Closed,2024-12-07,2024-12-11,1.0
TKT0000198,ACC001975,Medium,General Inquiry,Resolved,2024-10-06,2024-10-09,2.0
TKT0000199,ACC001766,Medium,Technical,Resolved,2026-04-08,2026-04-11,4.0
TKT0000200,ACC002087,Medium,Feature Request,In Progress,2026-03-06,,
TKT0000201,ACC002644,High,Technical,Closed,2025-08-22,2025-08-24,2.0
TKT0000202,ACC002927,Medium,Billing,Resolved,2025-03-25,2025-04-01,2.0
TKT0000203,ACC000687,Low,Feature Request,In Progress,2025-04-08,,
TKT0000204,ACC000665,Medium,Bug,Resolved,2026-03-07,2026-03-12,2.0
TKT0000205,ACC001405,High,Bug,Resolved,2025-03-24,2025-03-25,2.0
TKT0000206,ACC001320,Low,Technical,Resolved,2026-09-02,2024-12-04,3.0
TKT0000207,ACC000022,High,Technical,Closed,2025-10-11,2025-10-13,5.0
TKT0000208,ACC002315,Low,Technical,Resolved,2025-03-10,2025-04-05,3.0
TKT0000209,ACC002781,Medium,Technical,Resolved,2026-06-29,2026-07-04,3.0
TKT0000210,ACC001054,Critical,Bug,Closed,2025-11-30,2025-12-01,1.0
TKT0000211,ACC000088,High,General Inquiry,Closed,2026-05-01,2026-05-03,3.0
TKT0000212,ACC002178,Low,Feature Request,Open,2026-02-16,,
TKT0000213,ACC002628,Low,General Inquiry,Resolved,2025-12-24,2026-01-07,5.0
TKT0000214,ACC001268,High,General Inquiry,Resolved,2026-06-04,2026-06-06,1.0
TKT0000215,ACC000783,Critical,Billing,Resolved,2026-03-24,2026-03-24,4.0
TKT0000216,ACC002220,Low,Billing,Resolved,2024-12-13,2024-12-31,2.0
TKT0000217,ACC001305,Low,Technical,Open,2025-11-30,,
TKT0000218,ACC001604,Medium,Feature Request,In Progress,2025-11-20,,
TKT0000219,ACC002269,Low,Bug,Resolved,2025-12-10,2025-12-22,1.0
TKT0000220,ACC002218,Medium,Technical,Resolved,2026-01-16,2026-01-22,5.0
TKT0000221,ACC001022,High,Billing,Closed,2026-05-20,2026-05-21,4.0
TKT0000222,ACC002060,Low,Billing,Closed,2025-10-24,2025-11-08,1.0
TKT0000223,ACC002175,Medium,Billing,In Progress,2026-01-17,,
TKT0000224,ACC002454,Medium,Technical,Resolved,2024-08-21,2024-08-26,5.0
TKT0000225,ACC000634,High,General Inquiry,In Progress,2026-03-18,,
TKT0000226,ACC001438,Critical,Bug,Open,2025-04-04,,
TKT0000227,ACC001759,Medium,Bug,Open,2025-05-28,,
TKT0000228,ACC001059,High,Billing,Resolved,2025-11-29,2025-11-30,
TKT0000229,ACC002082,High,Technical,Closed,2025-12-16,2025-12-17,2.0
TKT0000230,ACC001053,Low,Feature Request,Open,2024-12-22,,
TKT0000231,ACC001733,Medium,Technical,Resolved,2025-10-03,2025-10-06,3.0
TKT0000232,ACC002195,Critical,General Inquiry,Closed,2026-02-03,2026-02-04,4.0
TKT0000233,ACC000857,Low,Technical,Closed,2025-09-11,2025-09-26,2.0
TKT0000234,ACC000533,Low,Billing,Resolved,2025-05-13,2025-06-08,5.0
TKT0000235,ACC000885,Low,Bug,In Progress,2025-07-19,,
TKT0000236,ACC001007,Low,Billing,Closed,2026-06-01,2026-06-13,
TKT0000237,ACC001732,Medium,Feature Request,Closed,2024-07-29,2024-08-01,1.0
TKT0000238,ACC001254,High,Technical,Closed,2025-05-31,2025-06-02,3.0
TKT0000239,ACC001874,Critical,General Inquiry,In Progress,2024-08-25,,
TKT0000240,ACC000717,Medium,Feature Request,Resolved,2025-01-23,2025-01-28,4.0
TKT0000241,ACC001843,High,General Inquiry,Open,2025-05-27,,
TKT0000242,ACC000504,Medium,Billing,Resolved,2026-03-04,2026-03-08,2.0
TKT0000243,ACC001958,Medium,Feature Request,Closed,2025-03-10,2025-03-13,5.0
TKT0000244,ACC001406,Medium,Feature Request,Closed,2026-04-21,2026-04-27,5.0
TKT0000245,ACC001875,High,Technical,In Progress,2024-12-19,,
TKT0000246,ACC000109,Critical,Feature Request,Resolved,2026-01-21,2026-01-22,4.0
TKT0000247,ACC002426,High,Technical,Closed,2025-08-04,2025-08-05,3.0
TKT0000248,ACC001615,Low,Feature Request,Closed,2025-06-21,2025-07-16,1.0
TKT0000249,ACC000624,Low,General Inquiry,Resolved,2024-10-21,2024-11-02,5.0
TKT0000250,ACC000189,Medium,Feature Request,Open,2024-08-25,,
TKT0000251,ACC001807,Medium,Billing,Closed,2026-01-17,2026-01-24,5.0
TKT0000252,ACC000247,High,Billing,In Progress,2025-09-08,,
TKT0000253,ACC000549,Medium,Bug,In Progress,2025-11-13,,
TKT0000254,ACC001060,Low,Billing,Open,2024-12-12,,
TKT0000255,ACC002860,Medium,Billing,Resolved,2026-10-20,2025-09-21,
TKT0000256,ACC001339,High,General Inquiry,In Progress,2024-08-23,,
TKT0000257,ACC001633,Medium,General Inquiry,Open,2025-08-31,,
TKT0000258,ACC001601,High,Technical,In Progress,2025-07-17,,
TKT0000259,ACC001730,Medium,General Inquiry,Open,2025-05-27,,
TKT0000260,ACC001467,Low,Feature Request,Resolved,2026-06-30,2026-07-06,4.0
TKT0000261,ACC001951,Low,Billing,Resolved,2026-03-12,2026-03-23,4.0
TKT0000262,ACC002089,Critical,Technical,Open,2025-05-27,,
TKT0000263,ACC000448,Low,Billing,Resolved,2026-04-10,2026-05-08,2.0
TKT0000264,ACC001198,Medium,Feature Request,In Progress,2024-12-30,,
TKT0000265,ACC001529,Medium,Billing,Open,2026-02-12,,
TKT0000266,ACC001903,Medium,Bug,Open,2024-09-30,,
TKT0000267,ACC002405,Low,Technical,Open,2026-04-11,,
TKT0000268,ACC002099,Critical,Bug,Closed,2025-12-15,2025-12-15,1.0
TKT0000269,ACC001164,Critical,General Inquiry,Closed,2025-01-23,2025-01-24,2.0
TKT0000270,ACC001998,Low,Feature Request,Open,2026-03-31,,
TKT0000271,ACC001197,Medium,Billing,Resolved,2025-05-21,2025-05-27,3.0
TKT0000272,ACC002268,Low,Technical,Closed,2025-10-14,2025-11-12,5.0
TKT0000273,ACC001528,Low,Feature Request,Open,2024-11-07,,
TKT0000274,ACC001147,Medium,Billing,Resolved,2025-05-19,2025-05-25,3.0
TKT0000275,ACC001635,Critical,Technical,Resolved,2024-11-24,2024-11-24,1.0
TKT0000276,ACC001062,Medium,Technical,Resolved,2025-03-02,2025-03-06,3.0
TKT0000277,ACC002418,High,Billing,Resolved,2025-12-01,2025-12-02,3.0
TKT0000278,ACC002325,Low,Technical,Open,2026-02-27,,
TKT0000279,ACC002252,Low,General Inquiry,In Progress,2025-10-27,,
TKT0000280,ACC000540,Critical,Bug,Closed,2024-11-21,2024-11-21,1.0
TKT0000281,ACC002721,Low,Bug,In Progress,2025-03-03,,
TKT0000282,ACC001772,Medium,Feature Request,Open,2025-10-10,,
TKT0000283,ACC000727,Medium,Technical,Closed,2025-06-27,2025-07-02,2.0
TKT0000284,ACC001897,Medium,Billing,Open,2026-06-19,,
TKT0000285,ACC002098,Medium,Technical,Resolved,2026-03-06,2026-03-12,1.0
TKT0000286,ACC002300,Medium,Technical,Open,2025-08-28,,
TKT0000287,ACC000767,High,Feature Request,In Progress,2026-01-12,,
TKT0000288,ACC002805,Medium,Feature Request,Closed,2026-02-24,2026-03-01,1.0
TKT0000289,ACC000953,Medium,General Inquiry,In Progress,2026-03-01,,
TKT0000290,ACC001270,High,Bug,In Progress,2024-12-10,,
TKT0000291,ACC002499,Critical,Technical,Open,2025-07-05,,
TKT0000292,ACC001920,Low,Billing,Closed,2025-11-14,2025-12-12,2.0
TKT0000293,ACC002441,Low,General Inquiry,Resolved,2024-10-02,2024-10-19,2.0
TKT0000294,ACC000352,Medium,Feature Request,Resolved,2025-04-23,2025-04-30,4.0
TKT0000295,ACC002092,Medium,General Inquiry,In Progress,2025-03-14,,
TKT0000296,ACC002607,Critical,Technical,Open,2025-09-20,,
TKT0000297,ACC000804,Medium,Technical,Closed,2025-06-21,2025-06-24,4.0
TKT0000298,ACC000267,Medium,Feature Request,In Progress,2025-11-25,,
TKT0000299,ACC000945,Medium,General Inquiry,Resolved,2025-01-04,2025-01-11,3.0
TKT0000300,ACC001209,Critical,Feature Request,Closed,2026-05-23,2026-05-24,5.0
TKT0000301,ACC001527,Low,Technical,Closed,2025-06-22,2025-07-19,4.0
TKT0000302,ACC000540,Low,Technical,Closed,2027-07-01,2025-09-15,2.0
TKT0000303,ACC000243,Medium,Feature Request,Closed,2025-07-11,2025-07-16,1.0
TKT0000304,ACC001333,Medium,Bug,Resolved,2025-03-31,2025-04-05,1.0
TKT0000305,ACC001160,Medium,Technical,Open,2025-11-17,,
TKT0000306,ACC002892,Low,Feature Request,Resolved,2024-10-13,2024-10-20,3.0
TKT0000307,ACC000204,Medium,Bug,Open,2024-08-03,,
TKT0000308,ACC001727,Critical,Technical,Open,2024-11-23,,
TKT0000309,ACC002302,Medium,Bug,In Progress,2024-10-02,,
TKT0000310,ACC000719,Low,Feature Request,Resolved,2025-05-23,2025-06-10,5.0
TKT0000311,ACC002467,Low,Feature Request,Open,2026-01-15,,
TKT0000312,ACC002637,High,Billing,Closed,2026-01-03,2026-01-06,5.0
TKT0000313,ACC002498,High,Feature Request,Resolved,2026-04-16,2026-04-17,3.0
TKT0000314,ACC000558,Medium,General Inquiry,Open,2025-05-19,,
TKT0000315,ACC000694,High,Technical,In Progress,2024-11-21,,
TKT0000316,ACC000438,Medium,Bug,In Progress,2026-05-06,,
TKT0000317,ACC001952,Medium,Technical,Resolved,2027-02-08,2025-11-16,2.0
TKT0000318,ACC000603,Medium,General Inquiry,Resolved,2026-01-19,2026-01-25,
TKT0000319,ACC001529,Low,Bug,Closed,2024-11-09,2024-12-08,2.0
TKT0000320,ACC001722,Medium,General Inquiry,In Progress,2026-03-13,,
TKT0000321,ACC001399,Low,Technical,Open,2026-01-30,,
TKT0000322,ACC001064,Medium,Feature Request,In Progress,2025-04-19,,
TKT0000323,ACC000384,High,Feature Request,Open,2025-12-18,,
TKT0000324,ACC002720,Medium,Technical,Resolved,2025-06-06,2025-06-13,3.0
TKT0000325,ACC001528,Medium,Bug,Resolved,2026-03-25,2026-03-28,1.0
TKT0000326,ACC002509,Medium,Bug,Closed,2026-06-20,2026-06-23,5.0
TKT0000327,ACC002124,Medium,Bug,Resolved,2024-08-11,2024-08-18,4.0
TKT0000328,ACC001520,Medium,Feature Request,Resolved,2025-01-09,2025-01-16,5.0
TKT0000329,ACC001474,Low,Technical,Resolved,2025-04-17,2025-04-30,3.0
TKT0000330,ACC002414,High,General Inquiry,In Progress,2025-06-28,,
TKT0000331,ACC002520,Critical,Feature Request,Open,2026-03-13,,
TKT0000332,ACC002490,Medium,Billing,Open,2026-06-30,,
TKT0000333,ACC001960,Medium,Billing,Open,2026-01-10,,
TKT0000334,ACC000981,Medium,Bug,Open,2025-01-04,,
TKT0000335,ACC002606,Medium,Billing,Resolved,2024-07-16,2024-07-19,1.0
TKT0000336,ACC002770,Low,General Inquiry,Open,2026-02-07,,
TKT0000337,ACC002448,Low,Feature Request,Resolved,2025-07-27,2025-08-26,5.0
TKT0000338,ACC001277,Medium,General Inquiry,Resolved,2025-01-05,2025-01-12,5.0
TKT0000339,ACC001465,Medium,Feature Request,In Progress,2025-12-23,,
TKT0000340,ACC000730,Low,General Inquiry,Resolved,2024-12-20,2024-12-28,2.0
TKT0000341,ACC000725,Critical,Bug,Resolved,2026-11-26,2026-04-16,2.0
TKT0000342,ACC000039,Low,Technical,In Progress,2024-11-25,,
TKT0000343,ACC002189,Medium,General Inquiry,Open,2025-09-18,,
TKT0000344,ACC000615,High,Bug,Closed,2026-03-02,2026-03-04,1.0
TKT0000345,ACC002374,Medium,General Inquiry,Open,2025-06-04,,
TKT0000346,ACC000464,Medium,General Inquiry,Open,2024-07-28,,
TKT0000347,ACC001391,Critical,Bug,In Progress,2025-08-06,,
TKT0000348,ACC002798,Low,Feature Request,In Progress,2025-01-13,,
TKT0000349,ACC000725,High,Billing,Resolved,2026-01-22,2026-01-25,4.0
TKT0000350,ACC002054,Low,Feature Request,Resolved,2025-08-03,2025-08-21,3.0
TKT0000351,ACC000405,Low,Technical,In Progress,2024-07-25,,
TKT0000352,ACC000200,Medium,Feature Request,Open,2024-07-25,,
TKT0000353,ACC002666,Low,Technical,Closed,2026-02-26,2026-03-11,1.0
TKT0000354,ACC001912,Low,Feature Request,Resolved,2025-01-02,2025-01-25,3.0
