usage_id,account_id,login_count,active_users,api_calls,storage_used_gb,feature_usage_score,last_login
USG00000117,ACC001849,1394,490,226497,156.0,50.8,2026-06-23
USG00000118,ACC002760,13340,2340,3471826,465.0,77.5,2026-06-15
USG00000119,ACC001023,893,20,27966,89.0,44.0,2026-04-19
USG00000120,ACC000482,3889,156,452143,362.0,52.5,2026-04-13
USG00000121,ACC001846,19581,4577,122644,524.0,78.4,2026-05-07
USG00000122,ACC001464,42,12,4029,17.76,14.9,2026-05-27
USG00000123,ACC001880,3809,202,198427,451.0,63.0,2026-06-03
USG00000124,ACC000864,3011,333,306966,297.0,68.4,2026-06-14
USG00000125,ACC000966,4872,65,247198,377.0,55.5,2026-06-11
USG00000126,ACC001937,4164,431,136071,295.0,74.6,2026-06-24
USG00000127,ACC001284,506,254,17093,434.0,76.6,2026-05-17
USG00000128,ACC001340,368,43,23714,86.0,58.1,2026-05-27
USG00000129,ACC000548,619,60,11607,83.0,39.2,2026-07-04
USG00000130,ACC002078,2847,462,141396,230.0,68.6,2026-05-25
USG00000131,ACC002656,751,71,5437,5.0,57.9,2026-04-30
USG00000132,ACC000037,17584,1242,2065617,2048.0,86.5,2026-06-14
USG00000133,ACC001292,4079,153,173665,125.0,64.1,2026-04-09
USG00000134,ACC000537,122,5,-4505,18.33,22.7,2026-05-24
USG00000135,ACC000103,743,21,28205,28.0,61.6,2026-07-02
USG00000136,ACC002432,2147,313,440975,64.0,51.8,2026-06-18
USG00000137,ACC001068,2005,159,54570,168.0,53.3,2026-07-04
USG00000138,ACC001424,943,18,39960,95.0,38.0,2026-05-27
USG00000139,ACC002026,198,86,29310,100.0,58.1,2026-06-22
USG00000140,ACC002773,159,6,4251,18.22,18.8,2026-05-11
USG00000141,ACC000386,4097,291,411149,63.0,60.9,2026-05-13
USG00000142,ACC001689,609,71,4518,19.0,49.5,2026-07-06
USG00000143,ACC000715,27,17,3829,,48.8,2026-05-04
USG00000144,ACC001055,778,87,7682,91.0,49.9,2026-06-03
USG00000145,ACC000172,132,11,3151,16.9,15.2,2026-05-03
USG00000146,ACC002493,8384,950,3287749,4665.0,67.5,2026-05-14
USG00000147,ACC002546,4777,66,301697,295.0,71.1,2026-04-22
USG00000148,ACC001592,99,15,3249,15.59,23.0,2026-12-14
USG00000149,ACC002995,754,92,23791,,61.4,2026-05-12
USG00000150,ACC001035,8586,4888,3602540,1277.0,99.7,2026-04-07
USG00000151,ACC002894,3894,434,298442,186.0,77.2,2026-04-20
USG00000152,ACC002136,3705,585,4054802,2768.0,79.0,2026-04-18
USG00000153,ACC002056,4619,176,499813,277.0,62.7,2026-05-14
USG00000154,ACC001679,9179,3970,1127693,2191.0,94.4,2026-06-08
USG00000155,ACC002203,17798,2684,420175,2159.0,85.8,2026-04-12
USG00000156,ACC002638,3044,360,101457,282.0,57.1,2026-05-09
USG00000157,ACC002574,198,4,2383,6.85,37.1,2026-05-07
USG00000158,ACC002061,3916,121,183490,424.0,72.2,2026-06-27
USG00000159,ACC001322,3305,260,264484,162.0,52.4,2026-06-29
USG00000160,ACC001582,321,95,42261,5.0,40.7,2026-05-13
USG00000161,ACC002454,4017,125,225097,484.0,69.6,2026-04-27
USG00000162,ACC000555,799,33,38327,,48.0,2026-05-06
USG00000163,ACC001547,4764,53,40386,216.0,71.0,2026-05-09
USG00000164,ACC000789,736,84,23837,57.0,46.3,2026-05-19
USG00000165,ACC002608,1438,58,443736,365.0,58.3,2026-04-19
USG00000166,ACC000960,544,99,13651,34.0,40.5,2026-06-02
USG00000167,ACC002365,17211,3820,1346388,3821.0,69.4,2026-06-18
USG00000168,ACC000623,4926,405,186205,236.0,78.9,2027-03-28
USG00000169,ACC001891,955,44,38122,74.0,60.5,2026-05-04
USG00000170,ACC000485,872,40,1296,72.0,32.8,2026-05-09
USG00000171,ACC002714,122,18,4120,18.27,11.9,2026-07-03
USG00000172,ACC002967,2121,4893,3085668,2618.0,71.2,2026-05-27
USG00000173,ACC002560,965,79,43397,73.0,59.0,2026-05-15
USG00000174,ACC000208,408,90,31604,76.0,55.0,2026-05-05
USG00000175,ACC001642,3188,266,31846,257.0,55.7,2026-05-21
USG00000176,ACC002645,4315,115,445922,420.0,63.5,2026-04-23
USG00000177,ACC001981,887,83,5355,42.0,30.9,2026-06-14
USG00000178,ACC000090,9721,1198,2918376,1326.0,81.6,2026-07-04
USG00000179,ACC000245,437,95,42654,41.0,32.6,2026-07-04
USG00000180,ACC000080,3009,367,26876,198.0,58.3,2026-05-06
USG00000181,ACC000403,105,13,4793,12.54,41.1,2026-06-28
USG00000182,ACC001267,2248,452,296041,498.0,78.2,2026-07-05
USG00000183,ACC000061,569,46,29059,80.0,35.9,2026-06-19
USG00000184,ACC002111,13433,468,2113539,4292.0,69.1,2026-05-09
USG00000185,ACC000931,806,97,42192,44.0,44.4,2026-04-22
USG00000186,ACC001535,238,33,23962,82.0,45.3,2026-06-09
USG00000187,ACC002116,185,83,25615,10.0,63.6,2026-06-23
USG00000188,ACC002024,26,2,4487,16.1,11.3,2026-05-31
USG00000189,ACC002840,924,81,5513,41.0,45.3,2026-06-09
USG00000190,ACC001719,301,76,48445,76.0,61.4,2026-04-23
USG00000191,ACC001636,5579,4541,1851452,2852.0,74.5,2026-04-26
USG00000192,ACC000710,2726,177,-13406,155.0,55.4,2026-05-29
USG00000193,ACC001404,2062,163,497353,125.0,67.8,2026-06-30
USG00000194,ACC002550,774,19,46232,48.0,36.6,2026-04-20
USG00000195,ACC001807,2543,521,4899046,3299.0,74.7,2026-04-15
USG00000196,ACC001492,114,15,3655,10.35,10.1,2026-04-17
USG00000197,ACC000442,3365,409,387615,166.0,73.1,2026-05-02
USG00000198,ACC002035,135,23,31886,30.0,37.0,2026-07-03
USG00000199,ACC001200,139,7,100,19.41,12.9,2026-04-28
USG00000200,ACC001071,621,10,41001,7.0,61.7,2027-06-24
USG00000201,ACC001418,845,42,7683,47.0,40.1,2026-06-23
USG00000202,ACC001838,33,9,2633,17.31,41.7,2026-04-07
USG00000203,ACC002953,2621,439,417584,344.0,68.4,2026-04-17
USG00000204,ACC002146,10541,4887,3389438,1624.0,86.8,2026-05-24
USG00000205,ACC002303,528,83,6274,67.0,65.0,2026-04-08
USG00000206,ACC002195,4718,232,276804,209.0,63.6,2026-05-02
USG00000207,ACC001041,7541,2101,620347,2039.0,88.9,2026-05-21
USG00000208,ACC002140,858,61,30761,12.0,33.5,2026-05-29
USG00000209,ACC002466,143,11,2914,10.39,47.0,2026-04-26
USG00000210,ACC000712,426,90,15844,41.0,34.8,2026-05-25
USG00000211,ACC000418,395,93,15314,80.0,32.2,2026-04-12
USG00000212,ACC001233,60,18,3497,19.04,31.3,2026-04-21
USG00000213,ACC001965,990,17,37069,55.0,43.1,2026-05-21
USG00000214,ACC000222,10419,4293,3642055,3415.0,73.0,2026-05-07
USG00000215,ACC001945,940,57,45245,51.0,32.1,2026-05-18
USG00000216,ACC000268,915,92,8393,17.0,57.6,2026-05-07
USG00000217,ACC000313,951,31,23952,56.0,65.0,2026-05-20
USG00000218,ACC000415,1787,107,417820,419.0,76.9,2026-05-24
USG00000219,ACC001474,813,106,22770,,54.0,2026-04-30
USG00000220,ACC001347,548,44,3864,34.0,44.2,2026-04-19
USG00000221,ACC001958,4987,827,940050,3067.0,72.3,2026-05-29
USG00000222,ACC002629,203,24,22366,41.0,43.3,2026-05-19
USG00000223,ACC000478,978,70,35213,75.0,53.0,2026-05-21
USG00000224,ACC001039,189,13,888,15.72,40.8,2026-06-20
USG00000225,ACC001611,4764,341,56870,472.0,67.1,2026-05-12
USG00000226,ACC001292,3981,244,33750,66.0,79.0,2026-05-04
USG00000227,ACC002279,235,22,12182,44.0,44.4,2026-05-24
USG00000228,ACC002034,124,12,21286,91.0,41.5,2026-05-23
USG00000229,ACC001836,90,15,2991,3.55,38.3,2026-05-05
USG00000230,ACC000236,104,14,4917,3.44,15.1,2026-05-09
USG00000231,ACC000913,603,62,38616,94.0,44.8,2026-04-18
USG00000232,ACC002941,5784,1634,1386342,1868.0,82.2,2026-06-12
USG00000233,ACC000461,16922,3886,1750010,1892.0,77.3,2026-06-08
USG00000234,ACC001378,4645,230,239468,357.0,70.2,2026-06-11
USG00000235,ACC000304,5713,2552,1896780,2445.0,71.5,2026-04-20
USG00000236,ACC002422,363,45,29758,54.0,45.1,2026-05-27
USG00000237,ACC001494,8061,2850,3782691,2241.0,76.4,2026-04-07
USG00000238,ACC001066,2710,229,108585,130.0,72.8,2026-04-22
USG00000239,ACC002598,73,5,2801,7.82,14.3,2026-04-19
USG00000240,ACC000298,646,51,45357,31.0,44.5,2026-07-05
USG00000241,ACC001397,4467,465,423934,403.0,72.2,2026-04-09
USG00000242,ACC000060,856,420,98764,163.0,50.5,2026-04-11
USG00000243,ACC001238,551,167,496100,275.0,67.8,2026-05-03
USG00000244,ACC000121,188,17,2294,3.34,15.1,2026-06-03
USG00000245,ACC000439,115,34,16182,15.0,35.2,2026-04-15
USG00000246,ACC000416,233,92,13171,78.0,59.7,2026-06-21
USG00000247,ACC002417,189,20,3732,14.57,17.0,2026-05-31
USG00000248,ACC001618,19402,584,131829,651.0,89.3,2026-04-10
USG00000249,ACC002518,717,36,46435,18.0,43.8,2026-06-18
USG00000250,ACC001117,312,36,45906,84.0,45.3,2026-04-27
USG00000251,ACC002031,3014,246,279281,112.0,75.9,2026-05-03
USG00000252,ACC000397,1818,436,306425,187.0,71.6,2026-05-02
USG00000253,ACC001388,14104,2081,3137340,4300.0,99.9,2026-05-03
USG00000254,ACC002546,2146,179,52900,217.0,78.4,2026-04-29
USG00000255,ACC002748,574,46,4477,80.0,32.0,2026-06-06
USG00000256,ACC001560,668,16,18495,89.0,44.0,2026-06-26
USG00000257,ACC000209,14929,4134,1935489,2421.0,91.2,2026-07-06
USG00000258,ACC001620,24,9,4608,5.68,46.2,2026-06-02
USG00000259,ACC002105,614,14,46430,48.0,31.5,2026-05-06
USG00000260,ACC000429,43,2,4629,7.56,14.3,2026-05-05
USG00000261,ACC000300,887,61,2256,74.0,31.0,2026-04-15
USG00000262,ACC002402,507,43,32942,14.0,62.9,2026-06-17
USG00000263,ACC001693,511,95,18317,98.0,64.9,2026-11-11
USG00000264,ACC001561,16962,1406,194082,2622.0,72.6,2026-06-06
USG00000265,ACC001594,4447,324,355974,265.0,53.9,2026-04-15
USG00000266,ACC000644,3896,101,498764,197.0,56.4,2026-05-29
USG00000267,ACC000315,989,492,115360,123.0,56.6,2026-05-28
USG00000268,ACC001138,831,20,45796,83.0,55.0,2026-05-22
USG00000269,ACC002360,5273,1068,2046205,1878.0,88.2,2026-05-09
USG00000270,ACC000449,688,38,22507,69.0,48.6,2026-04-17
USG00000271,ACC000304,12925,425,970794,2366.0,92.1,2026-05-01
USG00000272,ACC000164,489,10,21545,19.0,59.3,2026-05-24
USG00000273,ACC002229,4046,331,390965,210.0,61.5,2026-04-09
USG00000274,ACC002095,2453,282,126856,323.0,71.3,2026-04-11
USG00000275,ACC002978,841,36,32569,80.0,44.2,2026-06-28
USG00000276,ACC002310,47,14,2696,3.33,16.2,2026-06-15
USG00000277,ACC001278,464,36,26424,17.0,50.7,2026-07-03
USG00000278,ACC002931,14680,2913,-1153181,1901.0,88.6,2026-06-16
USG00000279,ACC001900,15574,4969,2905892,295.0,83.5,2026-05-03
USG00000280,ACC001698,86,18,4183,15.08,31.7,2026-04-20
USG00000281,ACC001265,232,54,21965,85.0,55.1,2026-05-13
USG00000282,ACC002734,2932,484,55014,275.0,67.0,2026-06-20
USG00000283,ACC002870,3108,226,242496,393.0,74.8,2026-06-21
USG00000284,ACC001393,528,89,41503,60.0,61.1,2026-05-09
USG00000285,ACC001289,145,52,11024,91.0,47.3,2026-06-25
USG00000286,ACC001277,6816,2083,3790448,2006.0,85.3,2026-04-11
USG00000287,ACC001046,538,32,38223,14.0,45.0,2026-04-28
USG00000288,ACC002717,228,45,17085,84.0,42.2,2026-04-18
USG00000289,ACC000605,1884,461,78582,430.0,68.5,2026-06-18
USG00000290,ACC002418,3729,139,256161,437.0,72.3,2026-05-29
USG00000291,ACC002647,410,65,4919,56.0,37.1,2026-06-10
USG00000292,ACC002972,143,20,3639,15.54,39.6,2026-06-08
USG00000293,ACC000734,2368,1401,2842438,3371.0,88.7,2027-03-09
USG00000294,ACC002926,63,3,1776,9.68,22.9,2026-05-05
USG00000295,ACC000689,10,7,1913,4.89,41.2,2026-07-03
USG00000296,ACC000088,4811,275,172343,434.0,65.1,2026-04-19
USG00000297,ACC000576,106,13,1133,,33.3,2026-05-07
USG00000298,ACC002359,42,3,2563,18.75,43.7,2026-05-27
USG00000299,ACC000624,8363,1612,1647835,1831.0,72.3,2026-06-17
USG00000300,ACC002180,4685,392,409492,386.0,57.3,2026-06-10
USG00000301,ACC002994,2724,424,188681,145.0,72.7,2026-05-01
USG00000302,ACC000244,904,60,7918,24.0,46.3,2026-05-01
USG00000303,ACC000186,269,20,17448,,52.4,2026-06-24
USG00000304,ACC000350,900,85,17989,7.0,58.1,2026-04-28
USG00000305,ACC001294,14193,3790,4890730,531.0,97.6,2026-06-08
USG00000306,ACC000852,10415,4771,3600866,2727.0,88.5,2026-06-15
USG00000307,ACC001825,876,33,3196,15.0,48.3,2026-05-04
USG00000308,ACC000247,13282,4752,2684642,606.0,83.2,2026-06-29
USG00000309,ACC000658,4657,169,101054,431.0,74.5,2026-05-29
USG00000310,ACC001399,4325,2143,3731809,3609.0,74.3,2026-06-09
USG00000311,ACC002159,3516,445,63637,205.0,66.1,2026-06-17
USG00000312,ACC001604,269,53,28114,96.0,36.3,2026-04-25
USG00000313,ACC000722,652,93,42712,13.0,57.4,2026-06-16
USG00000314,ACC001459,109,70,29722,48.0,57.3,2026-04-28
USG00000315,ACC000680,3299,133,-217950,358.0,66.2,2027-05-06
USG00000316,ACC002952,888,69,43322,31.0,59.3,2026-06-27
USG00000317,ACC002790,2525,399,44974,419.0,68.1,2026-04-09
USG00000318,ACC001898,188,48,25282,,38.0,2026-05-18
USG00000319,ACC002545,3379,4457,4713836,665.0,68.4,2026-07-04
USG00000320,ACC002136,14432,348,2535284,3056.0,72.8,2026-04-15
USG00000321,ACC002945,1006,114,366601,113.0,78.6,2026-06-07
USG00000322,ACC001463,208,56,23470,75.0,34.1,2026-05-31
USG00000323,ACC000360,656,225,394887,160.0,78.9,2026-06-15
USG00000324,ACC002615,423,33,18126,26.0,39.2,2026-07-01
USG00000325,ACC001647,169,16,3878,16.42,31.7,2026-05-21
USG00000326,ACC002226,11784,3107,4606239,1640.0,74.8,2026-06-21
USG00000327,ACC001900,9647,3077,1012211,,68.9,2026-05-06
USG00000328,ACC001734,4504,392,354000,140.0,74.5,2026-04-24
USG00000329,ACC001798,1281,325,285972,397.0,54.8,2026-04-12
USG00000330,ACC000305,860,89,18924,19.0,36.7,2026-04-08
USG00000331,ACC001239,4626,4569,768651,3050.0,82.2,2026-04-16
USG00000332,ACC002847,580,11,4756,75.0,47.1,2026-05-25
USG00000333,ACC002424,12586,1084,264942,4686.0,88.1,2026-06-16
USG00000334,ACC001164,33,11,4415,5.47,17.2,2026-06-22
USG00000335,ACC001070,301,100,34277,13.0,53.4,2026-06-07
USG00000336,ACC002841,3903,439,281245,147.0,65.1,2026-05-15
USG00000337,ACC002805,1265,113,250687,498.0,65.0,2026-06-27
USG00000338,ACC000065,11138,2870,1851581,1692.0,70.2,2026-06-10
USG00000339,ACC002048,686,88,11066,86.0,45.5,2026-05-10
USG00000340,ACC002142,5965,2981,508131,3273.0,91.2,2026-04-19
USG00000341,ACC001784,10653,1846,2834296,912.0,95.6,2026-06-01
USG00000342,ACC001110,469,73,5070,82.0,35.4,2026-05-02
USG00000343,ACC000657,186,14,1746,6.65,47.6,2026-06-12
USG00000344,ACC000080,3236,116,153363,461.0,73.2,2026-05-24
USG00000345,ACC002605,149,80,19413,45.0,51.2,2026-06-20
USG00000346,ACC002678,2594,271,135159,296.0,63.5,2026-05-27
USG00000347,ACC000941,13359,3062,2183751,2563.0,93.0,2026-05-09
USG00000348,ACC002499,19501,4036,4718633,3646.0,82.5,2026-06-09
USG00000349,ACC002703,100,93,31293,11.0,59.0,2026-05-19
USG00000350,ACC002825,551,77,39348,63.0,40.3,2026-06-09
USG00000351,ACC002629,686,77,8808,53.0,35.6,2026-07-06
USG00000352,ACC001449,18905,4562,724956,618.0,97.9,2026-04-28
USG00000353,ACC002264,2104,3909,2428723,1527.0,83.3,2026-05-14
USG00000354,ACC002605,473,36,38570,33.0,39.0,2026-06-03
USG00000355,ACC001530,2038,233,492602,196.0,73.7,2026-04-08
USG00000356,ACC002310,130,14,625,5.74,36.4,2026-07-04
USG00000357,ACC001397,3769,461,478387,151.0,54.7,2026-05-31
USG00000358,ACC001413,18162,1554,-2584683,368.0,90.6,2026-05-15
USG00000359,ACC000329,4276,460,179783,222.0,72.4,2026-05-17
USG00000360,ACC001215,12,2,1086,7.34,39.8,2026-05-18
USG00000361,ACC001735,500,46,39443,65.0,47.1,2026-05-04
USG00000362,ACC000606,553,97,15120,7.0,60.1,2026-04-29
USG00000363,ACC000590,13427,4855,2668486,1237.0,87.4,2026-06-06
USG00000364,ACC000697,25,6,608,16.66,47.9,2026-07-01
USG00000365,ACC002378,5292,4941,-1091937,1831.0,68.5,2026-07-06
USG00000366,ACC001439,1758,361,214277,259.0,55.3,2026-06-05
USG00000367,ACC002284,1001,214,319639,406.0,69.9,2026-05-31
USG00000368,ACC000407,2234,226,61784,96.0,68.8,2026-05-15
USG00000369,ACC000374,4340,306,489344,471.0,68.4,2026-05-01
USG00000370,ACC000498,18634,2156,306872,727.0,81.9,2026-04-29
USG00000371,ACC000506,2983,263,304210,54.0,53.0,2026-04-13
USG00000372,ACC000521,30,8,4364,6.77,12.4,2026-06-20
USG00000373,ACC002989,16024,1120,2377996,3912.0,66.9,2026-04-26
USG00000374,ACC000336,353,46,2217,68.0,49.5,2026-04-23
USG00000375,ACC002168,734,28,27326,68.0,57.4,2026-04-23
USG00000376,ACC001891,649,77,12639,25.0,59.3,2026-06-20
USG00000377,ACC000966,4152,197,140112,388.0,68.9,2026-06-21
USG00000378,ACC001636,15880,4897,1967262,2929.0,69.8,2026-06-25
USG00000379,ACC001124,14,9,1224,0.51,15.9,2026-06-09
USG00000380,ACC000507,197,7,3382,19.15,41.2,2026-07-03
USG00000381,ACC000579,2550,337,441407,211.0,75.6,2026-06-19
USG00000382,ACC001531,3866,4179,4509436,2273.0,65.4,2026-05-15
USG00000383,ACC001407,968,45,21218,49.0,54.3,2026-04-23
USG00000384,ACC000166,196,1,654,19.11,16.4,2026-04-23
USG00000385,ACC000520,1566,395,186913,119.0,72.5,2026-05-24
USG00000386,ACC002575,782,40,-36770,64.0,48.1,2026-04-29
USG00000387,ACC001763,2310,408,453407,230.0,60.4,2026-05-09
USG00000388,ACC001534,82,15,4755,9.77,10.5,2026-06-25
USG00000389,ACC001682,13202,3313,1123361,4006.0,80.1,2026-05-24
USG00000390,ACC002717,855,51,45686,17.0,49.3,2026-04-25
USG00000391,ACC000974,77,18,4706,5.09,34.9,2026-04-10
USG00000392,ACC001256,4383,291,125657,59.0,71.2,2026-05-25
USG00000393,ACC002357,277,57,45381,61.0,47.0,2026-05-28
USG00000394,ACC002979,17470,2226,2244314,1328.0,95.0,2026-05-03
USG00000395,ACC000497,309,45,-35456,82.0,39.4,2026-05-20
USG00000396,ACC000751,655,75,29413,34.0,46.5,2026-06-03
USG00000397,ACC001944,958,87,11487,24.0,50.3,2026-06-25
USG00000398,ACC002353,3515,106,355076,194.0,68.5,2026-06-19
USG00000399,ACC001363,2413,390,135427,201.0,75.7,2026-04-14
