activity_id,account_id,page_views,sessions,average_session_time,downloads,webinar_attendance,last_visit
ACT00000048,ACC000523,61,8,275.7,4,1,2026-06-09
ACT00000049,ACC000152,-780,43,344.9,12,0,2026-06-22
ACT00000050,ACC001691,93,7,120.5,1,0,2026-05-25
ACT00000051,ACC001748,669,131,850.3,40,4,2026-05-30
ACT00000052,ACC001018,2492,213,223.9,16,7,2026-07-04
ACT00000053,ACC001771,174,50,493.1,9,1,2026-05-24
ACT00000054,ACC001124,-152,9,265.9,1,0,2026-05-29
ACT00000055,ACC001482,8649,1103,1120.9,59,33,2026-06-22
ACT00000056,ACC000927,1642,227,765.3,32,14,2026-06-01
ACT00000057,ACC000436,1968,317,641.5,40,15,2026-05-23
ACT00000058,ACC001503,13340,1235,1738.0,200,69,2026-07-19
ACT00000059,ACC002886,685,86,237.8,13,4,2026-05-10
ACT00000060,ACC001741,-642,28,579.0,13,1,2026-06-06
ACT00000061,ACC000972,2956,191,716.5,16,5,2026-06-26
ACT00000062,ACC001645,78,19,91.0,5,0,2026-05-28
ACT00000063,ACC002185,159,3,167.0,3,2,2026-07-03
ACT00000064,ACC000507,192,11,32.2,4,0,2026-06-19
ACT00000065,ACC000735,-789,73,192.9,11,2,2026-07-05
ACT00000066,ACC000216,182,27,54.8,1,0,2026-06-03
ACT00000067,ACC002318,2708,200,122.8,5,12,2026-06-29
ACT00000068,ACC002552,1412,152,629.2,23,5,2026-07-03
ACT00000069,ACC000101,361,64,429.3,11,4,2026-05-26
ACT00000070,ACC000150,94,27,47.3,2,1,2026-05-21
ACT00000071,ACC000153,341,36,347.5,2,0,2026-05-27
ACT00000072,ACC001608,563,349,757.0,11,3,2026-06-04
ACT00000073,ACC001928,111,12,54.5,0,0,2026-05-20
ACT00000074,ACC001815,21,2,123.3,3,2,2026-05-13
ACT00000075,ACC000313,555,58,184.5,8,5,2026-06-04
ACT00000076,ACC001865,1819,220,657.0,28,13,2026-05-13
ACT00000077,ACC002644,2815,123,404.9,17,6,2026-05-11
ACT00000078,ACC001572,109,57,434.6,8,1,2026-05-21
ACT00000079,ACC000223,525,27,89.0,13,5,2026-05-14
ACT00000080,ACC001012,701,70,369.9,15,1,2026-06-14
ACT00000081,ACC002928,2047,255,235.3,33,5,2026-05-13
ACT00000082,ACC000781,706,16,230.4,1,0,2026-07-05
ACT00000083,ACC000684,255,56,524.9,15,5,2026-05-12
ACT00000084,ACC001525,307,72,343.1,1,4,2026-06-03
ACT00000085,ACC001981,-798,43,553.0,9,5,2026-07-02
ACT00000086,ACC000395,722,32,224.0,1,4,2026-06-12
ACT00000087,ACC000476,14625,1523,665.4,184,57,2026-06-10
ACT00000088,ACC002061,990,87,144.7,6,11,2026-05-15
ACT00000089,ACC002997,209,36,307.8,14,3,2026-05-14
ACT00000090,ACC002539,436,96,783.8,28,2,2026-06-08
ACT00000091,ACC002865,161,24,239.2,4,1,2026-06-15
ACT00000092,ACC001241,481,79,520.3,5,1,2026-05-28
ACT00000093,ACC001774,337,201,312.1,36,3,2026-05-24
ACT00000094,ACC002067,586,56,362.0,5,5,2026-06-12
ACT00000095,ACC001042,407,79,326.5,9,3,2026-05-31
ACT00000096,ACC002034,138,82,235.4,1,1,2026-05-08
ACT00000097,ACC001018,2423,179,604.0,17,12,2026-05-09
ACT00000098,ACC000137,255,23,157.9,4,1,2026-06-11
ACT00000099,ACC000072,2254,298,149.8,38,3,2026-06-01
ACT00000100,ACC000125,62,17,473.6,9,1,2026-06-19
ACT00000101,ACC000894,1925,299,193.1,19,7,2026-06-02
ACT00000102,ACC001261,86,37,247.3,15,3,2026-05-26
ACT00000103,ACC000826,-716,55,459.3,2,4,2026-09-03
ACT00000104,ACC001549,53,9,147.2,2,1,2026-05-28
ACT00000105,ACC002710,-2013,1084,453.3,180,23,2026-05-25
ACT00000106,ACC002874,170,8,69.1,0,1,2026-06-17
ACT00000107,ACC000318,76,25,257.7,2,1,2026-06-23
ACT00000108,ACC001660,5564,1284,1417.8,49,19,2026-07-03
ACT00000109,ACC002159,2634,145,718.1,34,7,2026-05-22
ACT00000110,ACC002305,15797,509,1673.9,59,77,2026-07-03
ACT00000111,ACC000951,203,29,318.1,9,0,2026-06-17
ACT00000112,ACC000929,2609,292,324.8,28,12,2026-05-26
ACT00000113,ACC000075,640,82,233.3,1,0,2026-06-12
ACT00000114,ACC002575,582,15,327.7,1,3,2026-05-14
ACT00000115,ACC001827,2737,342,200.2,12,3,2026-06-22
ACT00000116,ACC001432,100,94,411.2,10,3,2026-05-12
ACT00000117,ACC000752,690,39,436.0,15,2,2026-06-25
ACT00000118,ACC000697,13,5,34.7,3,2,2026-05-13
ACT00000119,ACC001629,6620,1450,1228.2,177,87,2026-05-29
ACT00000120,ACC002628,322,38,106.3,5,0,2026-05-27
ACT00000121,ACC002636,2643,77,784.3,25,9,2026-06-17
ACT00000122,ACC002402,546,66,170.7,13,2,2026-06-19
ACT00000123,ACC000676,206,161,665.4,12,15,2026-06-12
ACT00000124,ACC000226,740,12,496.2,2,1,2026-05-15
ACT00000125,ACC000341,2508,123,636.9,39,12,2026-05-25
ACT00000126,ACC001080,200,168,810.3,5,13,2026-05-31
ACT00000127,ACC000335,354,236,879.8,36,4,2026-07-05
ACT00000128,ACC002996,1901,176,846.1,14,15,2026-05-17
ACT00000129,ACC001731,2525,76,321.9,37,7,2026-05-25
ACT00000130,ACC002386,687,13,482.4,12,4,2026-06-08
ACT00000131,ACC001509,86,21,48.7,1,1,2026-05-25
ACT00000132,ACC000864,1619,318,698.8,28,11,2026-06-08
ACT00000133,ACC000037,9436,940,1656.7,74,15,2026-06-09
ACT00000134,ACC001458,663,61,778.0,8,2,2026-05-23
ACT00000135,ACC000716,5,28,201.7,0,2,2026-05-09
ACT00000136,ACC001534,182,1,212.7,1,1,2026-06-13
ACT00000137,ACC000580,85,22,62.7,5,1,2026-05-15
ACT00000138,ACC000753,12106,1223,1101.5,81,74,2026-05-22
ACT00000139,ACC000535,466,22,486.5,4,0,2026-06-17
ACT00000140,ACC001660,9557,1156,911.2,54,43,2026-06-05
ACT00000141,ACC002821,266,27,198.4,4,5,2027-01-02
ACT00000142,ACC001287,429,76,287.0,6,0,2026-06-19
ACT00000143,ACC000828,201,85,87.8,10,0,2026-06-21
ACT00000144,ACC002760,18399,376,1425.8,109,40,2026-05-09
ACT00000145,ACC002250,337,90,510.1,14,3,2026-06-22
ACT00000146,ACC001425,179,72,417.5,7,5,2026-06-08
ACT00000147,ACC000714,196,8,268.0,1,2,2026-05-15
ACT00000148,ACC001464,79,27,196.9,4,2,2026-06-21
ACT00000149,ACC002088,138,15,132.8,4,1,2026-06-02
ACT00000150,ACC001471,1265,299,830.9,22,13,2026-07-02
ACT00000151,ACC000202,690,63,531.8,11,5,2026-05-12
ACT00000152,ACC000297,642,26,451.6,14,2,2026-06-24
ACT00000153,ACC000907,2795,153,453.9,40,14,2026-05-27
ACT00000154,ACC001501,67,32,385.6,11,0,2026-06-04
ACT00000155,ACC002321,82,41,566.5,11,5,2026-05-22
ACT00000156,ACC000295,184,10,280.4,2,2,2026-05-28
ACT00000157,ACC002428,1879,328,585.0,17,6,2026-06-01
ACT00000158,ACC002586,341,29,529.6,4,1,2026-06-13
ACT00000159,ACC000500,13314,1380,814.3,62,54,2026-06-29
ACT00000160,ACC002766,334,34,174.8,12,0,2026-06-21
ACT00000161,ACC002544,105,59,261.3,10,0,2026-07-04
ACT00000162,ACC001900,8029,1086,866.8,61,16,2026-06-13
ACT00000163,ACC000170,739,99,395.3,10,5,2026-05-11
ACT00000164,ACC001047,500,98,461.6,14,3,2026-06-09
ACT00000165,ACC001604,76,83,157.4,3,3,2026-05-08
ACT00000166,ACC002079,24,19,178.7,2,2,2026-05-14
ACT00000167,ACC000823,40,8,129.3,2,1,2026-06-16
ACT00000168,ACC000808,1147,831,1548.0,69,45,2026-05-22
ACT00000169,ACC002282,93,18,111.7,2,1,2026-06-10
ACT00000170,ACC000665,1693,323,736.4,26,6,2026-05-19
ACT00000171,ACC002891,122,76,83.2,5,2,2026-07-03
ACT00000172,ACC000492,2752,273,604.9,26,6,2026-05-26
ACT00000173,ACC000968,-358,83,595.0,16,2,2026-05-11
ACT00000174,ACC001813,630,86,484.6,6,4,2026-06-04
ACT00000175,ACC000868,143,19,241.2,2,1,2026-07-02
ACT00000176,ACC000369,2755,181,391.5,26,6,2026-05-07
ACT00000177,ACC000759,9327,1948,1741.1,189,74,2026-07-02
ACT00000178,ACC001214,2479,155,767.5,19,8,2026-05-26
ACT00000179,ACC001725,459,94,461.5,5,2,2026-06-04
ACT00000180,ACC000164,195,92,241.9,14,1,2026-05-24
ACT00000181,ACC000186,111,31,155.4,1,0,2026-05-12
ACT00000182,ACC000324,4112,1424,691.7,165,45,2026-06-03
ACT00000183,ACC002541,479,27,375.0,3,1,2026-06-13
ACT00000184,ACC002259,113,30,150.7,3,2,2026-06-30
ACT00000185,ACC002580,250,47,134.9,8,3,2026-05-15
ACT00000186,ACC002931,2589,827,738.1,25,70,2026-07-02
ACT00000187,ACC002825,543,33,451.0,12,1,2026-06-28
ACT00000188,ACC000553,159,26,69.1,2,0,2026-06-05
ACT00000189,ACC001642,518,175,671.9,22,3,2026-06-07
ACT00000190,ACC002871,68,9,68.3,0,2,2026-05-14
ACT00000191,ACC001878,551,10,441.2,13,5,2026-05-09
ACT00000192,ACC002186,45,6,293.8,0,0,2026-06-02
ACT00000193,ACC002808,3000,296,613.2,34,6,2026-10-10
ACT00000194,ACC000436,1498,258,184.6,13,14,2026-05-26
ACT00000195,ACC001661,2932,357,140.0,16,13,2026-06-24
ACT00000196,ACC001990,3900,669,810.3,39,64,2026-05-16
ACT00000197,ACC002852,444,25,568.1,6,5,2026-06-08
ACT00000198,ACC001364,2082,104,235.8,27,8,2026-05-15
ACT00000199,ACC000806,2729,105,663.5,7,2,2026-06-16
ACT00000200,ACC002391,304,11,149.0,14,1,2026-05-12
ACT00000201,ACC001958,-18851,1615,1535.7,78,56,2026-05-16
ACT00000202,ACC001217,362,96,318.4,14,5,2026-05-10
ACT00000203,ACC000826,490,61,456.0,3,2,2026-06-03
ACT00000204,ACC002109,1314,346,326.9,25,15,2026-05-28
ACT00000205,ACC000125,181,75,265.9,7,1,2026-05-28
ACT00000206,ACC001730,-756,52,125.4,4,2,2026-07-01
ACT00000207,ACC001680,114,98,363.5,7,1,2026-06-11
ACT00000208,ACC002648,531,70,197.2,9,4,2026-07-05
ACT00000209,ACC000612,68,10,184.2,1,0,2026-12-07
ACT00000210,ACC001349,185,9,191.3,0,2,2026-05-13
ACT00000211,ACC002759,592,95,412.2,8,5,2026-05-16
ACT00000212,ACC000756,733,99,217.2,13,0,2026-06-30
ACT00000213,ACC002989,17499,1489,318.9,183,81,2026-05-10
ACT00000214,ACC001948,8688,1940,846.0,138,13,2026-05-16
ACT00000215,ACC000580,92,7,256.9,4,1,2026-06-03
ACT00000216,ACC002688,408,35,427.0,2,0,2026-05-11
ACT00000217,ACC000367,98,50,310.1,2,3,2026-06-10
ACT00000218,ACC000101,169,72,240.1,1,1,2026-06-12
ACT00000219,ACC002666,776,102,896.0,25,9,2026-05-31
ACT00000220,ACC002153,298,33,228.7,11,4,2026-05-18
ACT00000221,ACC001248,709,45,583.8,9,3,2026-06-16
ACT00000222,ACC002651,366,65,195.8,11,4,2026-05-16
ACT00000223,ACC001664,503,121,707.3,26,10,2026-05-17
ACT00000224,ACC002171,452,67,281.2,3,2,2026-06-03
ACT00000225,ACC000832,387,43,590.9,11,3,2026-06-12
ACT00000226,ACC002784,290,29,559.1,7,4,2026-05-23
ACT00000227,ACC002701,365,75,152.1,10,0,2026-05-18
ACT00000228,ACC000743,13353,444,324.2,91,43,2026-06-27
ACT00000229,ACC001124,153,26,77.0,0,2,2026-05-17
ACT00000230,ACC000155,817,291,330.3,18,4,2026-06-18
ACT00000231,ACC002333,548,37,145.5,10,5,2026-06-03
ACT00000232,ACC001516,723,99,421.0,14,5,2026-05-12
ACT00000233,ACC002244,362,266,484.2,19,13,2026-06-28
ACT00000234,ACC002583,2474,309,122.9,9,14,2026-05-15
ACT00000235,ACC002023,638,72,102.0,2,5,2026-06-03
ACT00000236,ACC000102,4687,827,1222.5,46,49,2026-05-14
ACT00000237,ACC000297,451,95,350.2,1,1,2026-07-01
ACT00000238,ACC001681,-47,25,137.1,4,0,2026-05-31
ACT00000239,ACC002396,2072,70,474.0,26,6,2026-05-27
ACT00000240,ACC001414,61,27,194.4,3,0,2026-05-31
ACT00000241,ACC001159,100,17,178.6,0,1,2026-08-05
ACT00000242,ACC000332,721,34,404.3,12,3,2026-06-10
ACT00000243,ACC002266,645,68,274.8,4,0,2026-06-23
ACT00000244,ACC000095,114,29,401.5,10,1,2026-07-16
ACT00000245,ACC000190,77,17,186.9,5,2,2026-06-04
ACT00000246,ACC001571,281,106,670.2,10,14,2026-05-09
ACT00000247,ACC000281,725,22,403.5,8,4,2026-11-22
ACT00000248,ACC001100,9920,1133,422.8,51,78,2026-05-29
ACT00000249,ACC002882,81,25,98.2,2,1,2026-06-12
ACT00000250,ACC001050,797,20,158.8,4,5,2026-05-22
ACT00000251,ACC000431,18073,999,492.8,142,77,2026-06-13
ACT00000252,ACC000878,2133,288,761.5,17,5,2026-06-29
ACT00000253,ACC002356,2267,72,589.4,7,8,2026-05-26
ACT00000254,ACC001908,7365,276,1499.0,157,81,2026-06-10
ACT00000255,ACC001516,497,82,212.6,4,5,2026-06-16
ACT00000256,ACC002273,3199,945,780.5,163,40,2026-06-11
ACT00000257,ACC000067,76,4,131.1,2,0,2026-05-28
ACT00000258,ACC000019,137,11,227.9,5,2,2026-06-18
ACT00000259,ACC001632,2302,199,439.9,11,3,2026-07-01
ACT00000260,ACC001381,188,42,586.2,2,1,2026-06-01
ACT00000261,ACC001510,72,9,257.0,2,0,2026-05-18
ACT00000262,ACC001105,149,20,47.7,2,0,2026-05-28
ACT00000263,ACC000975,11694,1210,1162.5,137,41,2026-06-14
ACT00000264,ACC000493,194,6,37.7,1,0,2026-05-08
ACT00000265,ACC001786,52,10,135.6,0,0,2026-06-13
ACT00000266,ACC002805,2130,181,462.2,37,5,2026-05-18
ACT00000267,ACC001684,751,166,741.2,14,7,2026-05-10
ACT00000268,ACC000913,362,33,442.4,2,1,2026-06-01
ACT00000269,ACC000830,15815,1211,744.8,37,47,2026-05-11
ACT00000270,ACC001676,259,32,360.9,9,0,2026-06-21
ACT00000271,ACC001346,636,55,274.2,8,5,2026-06-15
ACT00000272,ACC001228,19795,685,695.4,102,16,2026-06-15
ACT00000273,ACC002339,14,11,56.2,2,0,2026-06-17
ACT00000274,ACC000882,871,330,735.9,25,10,2026-06-14
ACT00000275,ACC002292,178,1,147.5,4,2,2026-06-27
ACT00000276,ACC001845,183,23,108.4,0,2,2026-05-23
ACT00000277,ACC001397,1175,179,135.0,27,13,2026-05-18
ACT00000278,ACC001636,7197,428,1120.6,154,24,2026-10-17
ACT00000279,ACC000163,1806,279,141.3,22,15,2026-06-24
ACT00000280,ACC000878,639,314,333.8,16,6,2026-05-30
ACT00000281,ACC000066,263,34,119.5,11,3,2026-06-20
ACT00000282,ACC000449,543,21,467.1,6,2,2026-06-06
ACT00000283,ACC002807,113,22,257.6,0,1,2026-05-26
ACT00000284,ACC001540,331,50,359.2,2,2,2026-05-30
ACT00000285,ACC000937,1166,227,386.0,14,13,2026-05-16
ACT00000286,ACC002692,172,19,208.5,1,2,2026-06-02
ACT00000287,ACC001921,1469,202,697.6,13,8,2026-05-26
ACT00000288,ACC001990,19358,1727,844.9,20,100,2026-05-14
ACT00000289,ACC000991,12386,1988,1481.0,28,16,2026-05-23
ACT00000290,ACC000613,1631,58,538.3,34,10,2026-09-26
ACT00000291,ACC001122,805,258,566.3,29,6,2026-06-17
ACT00000292,ACC000183,-213,75,393.5,4,3,2026-06-04
ACT00000293,ACC000310,192,63,81.2,2,5,2026-06-10
ACT00000294,ACC002732,2816,115,835.9,13,14,2026-05-16
ACT00000295,ACC002277,104,28,126.5,1,0,2026-05-29
ACT00000296,ACC001692,17447,775,1045.2,23,19,2026-05-21
ACT00000297,ACC002269,527,19,528.7,9,1,2026-07-05
ACT00000298,ACC001988,1268,57,270.5,37,15,2026-06-26
ACT00000299,ACC000612,183,14,151.6,1,2,2026-06-16
ACT00000300,ACC001245,1366,283,519.4,12,2,2026-06-22
ACT00000301,ACC000765,-1164,323,378.9,37,11,2026-05-20
ACT00000302,ACC000845,474,195,649.1,24,10,2026-05-25
ACT00000303,ACC002996,2575,252,442.4,7,15,2026-06-28
ACT00000304,ACC000171,601,259,143.6,37,6,2026-06-11
ACT00000305,ACC001893,149,98,554.9,7,5,2026-05-26
ACT00000306,ACC001564,-79,28,106.2,4,0,2026-05-22
ACT00000307,ACC002205,17,1,80.5,2,2,2026-06-26
ACT00000308,ACC000666,66,67,329.3,2,4,2026-07-03
ACT00000309,ACC002963,1536,314,569.0,22,6,2026-06-25
ACT00000310,ACC001281,16013,700,579.9,135,57,2026-06-05
ACT00000311,ACC000167,516,94,429.2,6,4,2026-06-03
ACT00000312,ACC002696,11119,873,497.5,68,22,2026-05-28
ACT00000313,ACC001533,2280,150,349.3,36,13,2026-06-29
ACT00000314,ACC000887,162,28,125.4,5,0,2026-06-23
ACT00000315,ACC000741,117,50,286.2,8,1,2026-08-04
ACT00000316,ACC002705,1608,260,253.3,31,11,2026-05-13
ACT00000317,ACC000629,1426,137,632.4,6,15,2026-06-24
ACT00000318,ACC001439,496,50,591.2,20,14,2026-07-02
ACT00000319,ACC002992,367,98,334.8,3,0,2026-06-08
ACT00000320,ACC001571,1297,291,795.8,19,15,2026-12-25
ACT00000321,ACC001493,115,82,472.4,10,0,2026-07-06
ACT00000322,ACC001428,1965,68,823.9,8,3,2026-06-15
ACT00000323,ACC001651,200,58,547.8,14,4,2026-06-23
ACT00000324,ACC001305,692,23,311.4,3,5,2026-05-21
ACT00000325,ACC000512,664,14,515.6,6,0,2026-06-17
ACT00000326,ACC002560,281,37,193.0,4,5,2026-05-26
ACT00000327,ACC001618,12538,625,305.2,150,42,2026-06-17
ACT00000328,ACC000649,505,100,175.6,3,0,2026-06-30
ACT00000329,ACC002117,491,92,354.9,4,2,2026-05-15
ACT00000330,ACC001357,103,56,76.7,3,3,2026-05-22
ACT00000331,ACC002955,534,49,305.1,12,3,2026-05-16
ACT00000332,ACC002989,16268,1108,1010.6,67,32,2026-05-21
ACT00000333,ACC000318,146,15,221.6,0,0,2026-05-15
ACT00000334,ACC000560,411,28,79.1,3,2,2026-06-23
ACT00000335,ACC002494,2150,311,889.8,23,7,2026-06-14
ACT00000336,ACC000515,793,76,114.1,7,5,2026-05-12
ACT00000337,ACC001989,160,15,442.0,12,4,2026-08-06
ACT00000338,ACC001986,423,162,890.8,10,9,2026-06-14
ACT00000339,ACC001777,585,92,500.2,10,3,2026-05-21
ACT00000340,ACC002124,392,65,540.6,9,5,2026-06-03
ACT00000341,ACC002585,156,11,101.6,0,1,2026-06-02
ACT00000342,ACC001321,800,297,832.9,13,9,2026-06-22
ACT00000343,ACC002342,147,1,211.5,3,1,2026-06-21
ACT00000344,ACC001651,171,16,99.1,12,1,2026-06-09
ACT00000345,ACC002120,1621,374,878.6,11,8,2026-05-11
ACT00000346,ACC001207,80,9,127.5,4,2,2026-05-12
ACT00000347,ACC001754,653,68,163.6,10,2,2026-06-02
ACT00000348,ACC002410,45,21,73.9,5,0,2026-06-01
ACT00000349,ACC002377,780,83,266.9,15,0,2026-06-07
ACT00000350,ACC000377,426,65,211.6,13,5,2026-06-05
ACT00000351,ACC001374,211,95,84.5,9,0,2026-06-22
ACT00000352,ACC002393,164,22,57.8,0,0,2026-06-11
ACT00000353,ACC002295,2108,286,744.7,13,2,2026-05-16
ACT00000354,ACC002643,326,370,227.1,7,13,2026-06-01
ACT00000355,ACC002812,517,100,133.5,7,4,2026-06-23
ACT00000356,ACC000054,786,27,355.0,12,0,2026-06-16
ACT00000357,ACC000469,124,24,385.7,15,1,2026-06-13
ACT00000358,ACC000315,333,118,371.2,33,11,2026-05-26
ACT00000359,ACC001984,1124,233,204.2,21,2,2026-05-12
ACT00000360,ACC002626,739,77,570.3,14,5,2026-06-18
ACT00000361,ACC000620,358,77,195.7,15,3,2026-05-25
ACT00000362,ACC002619,719,253,160.3,21,8,2026-07-03
ACT00000363,ACC002003,168,13,223.4,2,2,2026-06-21
ACT00000364,ACC000208,771,63,111.2,14,1,2026-06-23
ACT00000365,ACC002192,16092,1910,1468.8,63,75,2026-06-25
ACT00000366,ACC002320,548,73,250.6,2,2,2026-06-02
ACT00000367,ACC002119,5006,1277,500.6,67,84,2026-05-17
ACT00000368,ACC002665,359,42,237.6,12,0,2026-06-18
ACT00000369,ACC001377,358,99,492.3,36,2,2026-06-29
ACT00000370,ACC001336,632,49,455.6,12,4,2026-05-15
ACT00000371,ACC001255,514,22,469.0,7,2,2026-05-08
ACT00000372,ACC002590,206,386,845.4,13,9,2026-05-12
ACT00000373,ACC001538,2011,320,730.2,19,11,2026-05-16
ACT00000374,ACC001126,2848,205,608.0,40,6,2026-06-14
ACT00000375,ACC001234,264,42,63.1,3,2,2026-06-04
ACT00000376,ACC002753,771,320,384.5,8,6,2026-06-17
ACT00000377,ACC001424,496,95,535.2,8,5,2026-07-03
ACT00000378,ACC000432,-439,82,587.5,2,4,2026-07-03
ACT00000379,ACC001532,6760,1554,972.1,77,69,2026-05-30
ACT00000380,ACC001983,2768,89,456.8,22,2,2026-07-01
ACT00000381,ACC000308,613,193,498.4,37,15,2026-06-30
ACT00000382,ACC002468,2709,239,164.7,33,15,2026-05-28
ACT00000383,ACC000290,142,17,213.7,3,0,2026-06-01
ACT00000384,ACC002597,2488,308,652.5,18,14,2026-06-28
ACT00000385,ACC001331,1349,315,791.3,21,3,2026-05-07
ACT00000386,ACC002816,554,69,300.2,6,4,2026-07-03
ACT00000387,ACC002487,11529,1089,1197.3,170,39,2026-06-15
ACT00000388,ACC002776,1733,327,877.3,17,2,2026-06-09
ACT00000389,ACC002968,780,100,441.1,2,4,2026-07-03
ACT00000390,ACC001421,1450,221,783.8,34,10,2026-06-25
ACT00000391,ACC001734,1276,383,369.3,14,10,2026-05-31
ACT00000392,ACC000237,517,247,683.6,34,2,2026-06-19
ACT00000393,ACC001885,172,67,251.3,6,4,2026-06-03
ACT00000394,ACC000803,30,26,129.1,4,2,2026-07-02
ACT00000395,ACC001237,17539,841,1738.0,20,95,2026-05-25
ACT00000396,ACC001369,550,94,109.4,9,2,2026-07-03
ACT00000397,ACC002173,588,27,67.0,9,5,2026-05-28
ACT00000398,ACC000483,965,302,650.5,31,9,2026-06-18
ACT00000399,ACC000757,104,8,108.7,1,0,2026-05-17
ACT00000400,ACC000999,1973,341,246.4,19,6,2026-06-04
ACT00000401,ACC002623,85,26,442.0,11,4,2026-06-19
ACT00000402,ACC002740,192,8,104.8,4,1,2026-05-24
ACT00000403,ACC001386,1991,235,193.3,18,9,2026-05-21
ACT00000404,ACC001633,490,352,524.4,10,15,2026-07-03
ACT00000405,ACC002534,14855,1401,1350.6,23,22,2026-05-13
ACT00000406,ACC002891,158,70,402.4,13,1,2026-06-21
ACT00000407,ACC000611,219,69,205.0,15,0,2026-06-05
ACT00000408,ACC000364,-99,1,209.2,3,2,2026-06-03
ACT00000409,ACC002933,88,15,187.6,5,2,2026-05-13
ACT00000410,ACC000875,613,91,63.7,10,2,2026-06-16
ACT00000411,ACC000606,267,14,265.5,13,5,2026-05-25
ACT00000412,ACC000694,1480,181,595.7,31,12,2026-05-26
ACT00000413,ACC000570,603,17,493.8,4,1,2026-05-27
ACT00000414,ACC002444,2638,56,867.9,32,8,2026-05-29
ACT00000415,ACC000453,8,25,96.5,3,2,2026-06-05
ACT00000416,ACC002028,2920,101,816.6,39,13,2026-05-31
ACT00000417,ACC001626,515,153,706.7,20,8,2026-06-20
ACT00000418,ACC000309,2428,377,593.0,10,5,2026-06-14
ACT00000419,ACC000883,174,15,137.5,4,2,2026-07-03
ACT00000420,ACC000077,58,13,121.6,3,0,2026-05-21
ACT00000421,ACC000246,363,20,415.5,5,5,2026-07-02
ACT00000422,ACC002773,102,26,300.0,3,2,2026-06-25
ACT00000423,ACC001272,1552,281,436.1,28,15,2026-05-16
ACT00000424,ACC001064,129,4,272.9,1,2,2026-07-03
ACT00000425,ACC002385,652,86,131.6,5,3,2026-07-05
ACT00000426,ACC000839,13009,953,420.1,23,16,2026-05-20
ACT00000427,ACC002947,7544,1199,1359.5,42,93,2026-06-23
ACT00000428,ACC002606,1875,1836,1581.0,86,60,2026-05-27
